【專題影片字幕校對稿：5美分口哨催生了蘋果帝國】
說明：依據標準字幕規範（每行 8～12 字黃金長度、自然呼吸斷句、專有名詞 100% 準確校正）產出。

001. [00:00:00,000 -> 00:00:00,920] 想像一下喔
112. [00:04:29,420 -> 00:04:32,100] 竟然把市值千億的電信王國
113. [00:04:32,100 -> 00:04:33,340] 打得滿地找牙！
114. [00:04:33,860 -> 00:04:36,100] 【第三部分：科技天才的狂熱】
115. [00:04:36,720 -> 00:04:38,700] 時間來到 1971 年的秋天
116. [00:04:39,100 -> 00:04:40,620] 這股地下極客文化
117. [00:04:40,620 -> 00:04:42,380] 被《君子雜誌》大幅報導
118. [00:04:43,020 -> 00:04:46,000] 當時才 21 歲的大學生史蒂夫·沃茲尼克
119. [00:04:46,380 -> 00:04:48,120] 在宿舍讀到這篇文章的時候
120. [00:04:48,540 -> 00:04:50,420] 簡直激動到渾身發抖！
121. [00:04:50,880 -> 00:04:53,060] 他立刻打電話給他 16 歲的死黨
122. [00:04:53,460 -> 00:04:55,600] 沒錯，就是史蒂夫·賈伯斯
123. [00:04:56,080 -> 00:04:59,120] 這兩個科技狂熱少年的行動力有多可怕？
124. [00:04:59,120 -> 00:05:00,980] 他們半小時內碰頭
125. [00:05:01,320 -> 00:05:03,020] 三更半夜跳上一台破車
126. [00:05:03,420 -> 00:05:05,340] 一路狂飆到史丹佛大學
127. [00:05:05,340 -> 00:05:07,120] 線性加速器中心的圖書館
128. [00:05:07,440 -> 00:05:09,080] 開始瘋狂翻箱倒櫃
129. [00:05:09,580 -> 00:05:10,600] 結果你猜怎麼著？
130. [00:05:11,000 -> 00:05:14,500] 他們竟然真的在 AT&T 自家的技術期刊裡面
131. [00:05:14,820 -> 00:05:17,460] 找到了所有控制音頻的精確參數！
132. [00:05:17,880 -> 00:05:19,200] 沃茲尼克後來回憶說
133. [00:05:19,500 -> 00:05:21,940] 那一刻他們真的是渾身起雞皮疙瘩
134. [00:05:22,340 -> 00:05:24,200] 因為這一切居然都是真的！
135. [00:05:24,780 -> 00:05:28,580] 【第四部分：純數位藍盒子的降臨】
136. [00:05:29,160 -> 00:05:30,540] 既然掌握了密碼
137. [00:05:30,860 -> 00:05:33,680] 那些電話飛客們通常就會自己動手
138. [00:05:33,680 -> 00:05:36,580] 做一種叫「藍盒子」的裝置來盜打電話
139. [00:05:36,980 -> 00:05:37,760] 但大家要知道
140. [00:05:38,160 -> 00:05:41,980] 沃茲尼克可是個百年難得一見的工程天才啊
141. [00:05:42,300 -> 00:05:44,440] 他對當時地下圈子裡流傳的
142. [00:05:44,440 -> 00:05:46,860] 那些破銅爛鐵根本嗤之以鼻！
143. [00:05:47,320 -> 00:05:47,820] 為什麼呢？
144. [00:05:48,220 -> 00:05:50,240] 因為傳統的類比電路很不穩定
145. [00:05:50,520 -> 00:05:52,620] 只要天氣一冷，或者電池快沒電了
146. [00:05:52,820 -> 00:05:55,040] 頻率就會飄移，然後就失效了
147. [00:05:55,180 -> 00:05:58,740] 所以沃茲直接拿了當時最新鮮、最酷的
148. [00:05:58,740 -> 00:06:02,080] 數位 TTL 邏輯晶片和石英震盪器
149. [00:06:02,080 -> 00:06:05,360] 搞出了一台史無前例的全數位藍盒子！
150. [00:06:05,680 -> 00:06:07,660] 它可以精確計算脈衝週期
151. [00:06:07,880 -> 00:06:09,680] 達到 100% 的絕對精準
152. [00:06:10,220 -> 00:06:12,840] 這在當時根本就是妥妥的降維打擊！
153. [00:06:13,340 -> 00:06:15,300] 有了這台數位神器
154. [00:06:15,700 -> 00:06:18,280] 這兩個年輕人簡直是玩瘋了
155. [00:06:18,660 -> 00:06:21,300] 他們把電話訊號當成乒乓球一樣
156. [00:06:21,300 -> 00:06:24,240] 在各國的交換機裡面彈來彈去
157. [00:06:24,460 -> 00:06:26,340] 當中最爆笑的一次
158. [00:06:26,720 -> 00:06:28,560] 是沃茲半夜一路跳線
159. [00:06:28,900 -> 00:06:31,440] 竟然直接撥通了梵蒂岡教廷！
160. [00:06:31,880 -> 00:06:33,220] 他故意捏著嗓子
161. [00:06:33,460 -> 00:06:35,880] 模仿一種很濃重的德國腔說：
162. [00:06:36,360 -> 00:06:39,060] 「這裡是白宮，我是美國國務卿季辛吉，
163. [00:06:39,580 -> 00:06:43,180] 我有緊急的國家大事，必須立刻跟教宗通話！」
164. [00:06:43,840 -> 00:06:46,160] 我的天啊，那邊可憐的主教
165. [00:06:46,160 -> 00:06:49,580] 差點就真的跑去把熟睡的教宗給挖起來了！
166. [00:06:50,040 -> 00:06:52,060] 直到沃茲尼克實在是憋不住
167. [00:06:52,180 -> 00:06:54,100] 在電話這頭狂笑出聲
168. [00:06:54,300 -> 00:06:56,420] 才匆匆忙忙地把電話掛斷
169. [00:06:57,080 -> 00:06:58,640] 不過呢，就在這個時候
170. [00:06:59,020 -> 00:07:01,400] 十六歲的賈伯斯展現出了他
171. [00:07:01,400 -> 00:07:03,380] 與生俱來的商業狼性！
172. [00:07:03,820 -> 00:07:04,700] 對沃茲來說
173. [00:07:04,860 -> 00:07:07,260] 這可能就只是一個極客男孩的惡作劇
174. [00:07:07,560 -> 00:07:09,260] 但是對賈伯斯來說
175. [00:07:09,660 -> 00:07:12,720] 這可是一門發大財的好生意啊！
176. [00:07:13,120 -> 00:07:16,420] 於是沃茲負責在宿舍一塊塊焊電路板
177. [00:07:16,420 -> 00:07:19,540] 一台零件成本大約只要四十美金
178. [00:07:19,780 -> 00:07:22,260] 而賈伯斯呢就負責業務包裝
179. [00:07:22,580 -> 00:07:25,220] 在大學宿舍裡挨家挨戶敲門推銷
180. [00:07:25,600 -> 00:07:26,440] 你猜一台賣多少？
181. [00:07:26,940 -> 00:07:30,800] 一台竟然賣到一百五十到一百七十美元的天價！
182. [00:07:31,200 -> 00:07:33,640] 他們就靠這樣淨賺了好幾千美金
183. [00:07:34,180 -> 00:07:37,340] 沃茲的頂尖技術，加上賈伯斯的商業頭腦
184. [00:07:37,640 -> 00:07:39,920] 這對改變世界的黃金組合
185. [00:07:40,140 -> 00:07:42,140] 就是在這個時候初露鋒芒的！
186. [00:07:42,820 -> 00:07:45,120] 可是啊，地下世界的現實
187. [00:07:45,420 -> 00:07:47,460] 終究不是小孩子鬧著玩的
188. [00:07:47,840 -> 00:07:48,940] 有一天傍晚
189. [00:07:49,340 -> 00:07:52,820] 賈伯斯在一家 Denny's 餐廳的停車場跟人家面交
190. [00:07:53,300 -> 00:07:56,880] 沒想到買家突然掏出一把點三八左輪手槍
191. [00:07:57,280 -> 00:07:59,460] 直直地頂在賈伯斯的胸口上
192. [00:07:59,760 -> 00:08:01,660] 當場把設備全部搶走！
193. [00:08:02,240 -> 00:08:04,780] 這場差點連命都沒了的驚魂記
194. [00:08:05,060 -> 00:08:08,160] 把這兩個高智商少年嚇出了一身冷汗
195. [00:08:08,160 -> 00:08:10,500] 他們這才徹底意識到
196. [00:08:10,520 -> 00:08:12,520] 黑市的水實在太深了
197. [00:08:12,700 -> 00:08:16,020] 於是決定乖乖金盆洗手，退出江湖
198. [00:08:20,860 -> 00:08:23,200] 時間快轉到七十年代末
199. [00:08:23,500 -> 00:08:25,080] 那家快被搞瘋的 AT&T
200. [00:08:25,080 -> 00:08:27,800] 終於砸了數十億美元去升級系統
201. [00:08:28,080 -> 00:08:31,880] 那傳奇的 2600 赫茲哨音也正式成了絕響
202. [00:08:32,200 -> 00:08:35,080] 但是革命的火種早就已經種下了
203. [00:08:35,080 -> 00:08:37,680] 1976 年同樣是這兩個人
204. [00:08:37,680 -> 00:08:39,480] 在加州的一個小車庫裡
205. [00:08:39,480 -> 00:08:41,500] 焊出了 Apple I 的主機板
206. [00:08:41,740 -> 00:08:43,380] 蘋果電腦就這樣誕生了！
207. [00:08:43,640 -> 00:08:45,220] 其實在 1994 年的時候
208. [00:08:45,580 -> 00:08:46,960] 賈伯斯在一次專訪中
209. [00:08:46,960 -> 00:08:49,200] 說出了一段非常撼動人心的話
210. [00:08:49,600 -> 00:08:51,900] 他說：如果沒有當年的藍盒子
211. [00:08:51,900 -> 00:08:53,920] 就絕對不會有後來的蘋果電腦！
212. [00:08:54,200 -> 00:08:56,740] 「這給了我們一種不可思議的賦權感。」
213. [00:08:57,020 -> 00:08:59,640] 沒錯，正是那段經歷讓他們意識到
214. [00:08:59,920 -> 00:09:01,040] 只要掌握了技術
215. [00:09:01,340 -> 00:09:03,540] 就算只是兩個毫無背景的小毛頭
216. [00:09:03,540 -> 00:09:06,420] 也能打造出控制百億美元帝國的設備
217. [00:09:06,820 -> 00:09:09,500] 這個世界其實是可以被黑客重構的！
218. [00:09:10,000 -> 00:09:13,000] 從一個藏在麥片盒裡的廉價口哨
219. [00:09:13,300 -> 00:09:16,780] 到如今市值高達數兆美元的蘋果帝國
220. [00:09:17,220 -> 00:09:19,640] 改變世界的往往就是那些
221. [00:09:19,640 -> 00:09:23,720] 敢於對著龐大體制勇敢吹響哨音的極客！
222. [00:09:24,160 -> 00:09:25,640] 在今天這期解說的最後
223. [00:09:25,920 -> 00:09:28,800] 我想留給大家一個有趣的問題來思考一下：
224. [00:09:29,280 -> 00:09:31,880] 在我們現在這個充斥著 AI、雲端
225. [00:09:31,880 -> 00:09:34,880] 還有各種科技巨獸的現代社會裡
226. [00:09:35,060 -> 00:09:37,440] 你覺得哪裡還藏著那個
227. [00:09:37,440 -> 00:09:40,000] 等待被吹響的塑膠口哨呢？
228. [00:09:40,380 -> 00:09:41,380] 非常感謝大家的收看
229. [00:09:41,740 -> 00:09:42,540] 我們下次見囉！
