【專題影片字幕校對稿：Flash的興衰史：網頁英雄到傲嬌天后】
說明：依據影視級標準作業程序（SOP）（每行 <= 16 字黃金視線帶、自然呼吸斷句、專有名詞 100% 準確校正）產出。

001. [00:00:00,000 -> 00:00:01,340] 歡迎來到今天的單元
048. [00:01:26,440 -> 00:01:29,260] 在 56K 那種龜速的撥接網路下
049. [00:01:29,540 -> 00:01:31,900] 你想看個短短 30 秒的小動畫
050. [00:01:32,240 -> 00:01:32,580] 抱歉
051. [00:01:32,860 -> 00:01:34,540] 你可能要下載好幾個小時
052. [00:01:35,200 -> 00:01:36,340] 當時的前端工程師
053. [00:01:36,340 -> 00:01:38,160] 簡直是被死板的幾何網格
054. [00:01:38,160 -> 00:01:38,940] 給綁架了
055. [00:01:39,300 -> 00:01:40,600] 網頁根本動不起來
056. [00:01:41,020 -> 00:01:41,940] 整個瀏覽體驗
057. [00:01:41,940 -> 00:01:44,260] 真的是像在數位沙漠裡爬行一樣
058. [00:01:44,260 -> 00:01:45,600] 超級痛苦的
059. [00:01:45,600 -> 00:01:48,300] 為了打破這個無聊的僵局
060. [00:01:48,680 -> 00:01:50,820] 我們得先搞懂一個核心概念
061. [00:01:51,040 -> 00:01:52,880] 就是點陣圖跟向量圖
062. [00:01:52,880 -> 00:01:53,920] 到底差在哪裡
063. [00:01:54,540 -> 00:01:55,680] 大家可以這樣想像
064. [00:01:55,980 -> 00:01:58,580] 點陣圖就像是你出門去旅行
065. [00:01:59,000 -> 00:02:00,900] 結果硬要扛著一大袋
066. [00:02:00,900 -> 00:02:03,220] 超級沉重的像素磚塊
067. [00:02:03,640 -> 00:02:05,500] 那個檔案真的是有夠大
068. [00:02:06,020 -> 00:02:08,700] 向量圖就像是你全身輕裝
069. [00:02:09,120 -> 00:02:10,620] 只帶著一張輕盈的
070. [00:02:10,620 -> 00:02:12,160] 數學魔法配方
071. [00:02:12,160 -> 00:02:14,360] 電腦只要一拿到這張配方
072. [00:02:14,520 -> 00:02:16,260] 就能瞬間在螢幕上
073. [00:02:16,260 -> 00:02:17,720] 自己把圖形畫出來
074. [00:02:18,080 -> 00:02:19,760] 而且不管你怎麼放大縮小
075. [00:02:20,120 -> 00:02:22,340] 畫質永遠都是清晰銳利的
076. [00:02:22,760 -> 00:02:23,360] 重點是
077. [00:02:23,700 -> 00:02:25,800] 檔案體積小到不可思議
078. [00:02:26,340 -> 00:02:29,040] 其實這套神奇的數學魔法
079. [00:02:29,420 -> 00:02:31,640] 背後是一個超級展開
080. [00:02:32,020 -> 00:02:34,640] 根本是無心插柳柳成蔭的
081. [00:02:34,640 -> 00:02:35,840] 魯蛇翻身故事
082. [00:02:36,400 -> 00:02:37,580] 在 1993 年的時候
083. [00:02:37,900 -> 00:02:39,580] 有兩位充滿理想的開發者
084. [00:02:39,920 -> 00:02:40,980] 喬納森跟查理
085. [00:02:41,260 -> 00:02:43,900] 他們做了一款專門給觸控筆用的
086. [00:02:43,900 -> 00:02:45,360] 向量繪圖軟體
087. [00:02:45,680 -> 00:02:46,420] 叫做 SmartSketch
088. [00:02:47,160 -> 00:02:47,720] 結果呢
089. [00:02:48,080 -> 00:02:49,460] 觸控筆市場大崩盤
090. [00:02:49,820 -> 00:02:51,340] 他們差一點點就要破產了
091. [00:02:51,700 -> 00:02:54,440] 可是這兩位天才靈機一動
092. [00:02:54,780 -> 00:02:55,500] 想說等等
093. [00:02:56,100 -> 00:02:58,440] 既然網路上那些大圖片跑不動
094. [00:02:58,780 -> 00:03:01,220] 那我們把這套超輕量的向量技術
095. [00:03:01,220 -> 00:03:03,240] 拿去做網頁動畫不就好了嗎
096. [00:03:03,680 -> 00:03:05,380] 就這樣 他們推出了
097. [00:03:05,380 -> 00:03:06,060] FutureSplash
098. [00:03:06,060 -> 00:03:06,820] Animator
099. [00:03:06,820 -> 00:03:09,160] 接著 在 1996 年
100. [00:03:09,160 -> 00:03:10,740] 被多媒體巨頭
101. [00:03:10,740 -> 00:03:12,140] Macromedia 收購
102. [00:03:12,380 -> 00:03:14,620] 正式改名叫 Flash 1.0
103. [00:03:15,100 -> 00:03:17,260] 我們的英雄就此誕生啦
104. [00:03:17,540 -> 00:03:18,680] 那 Flash 到底是怎麼
105. [00:03:18,680 -> 00:03:20,000] 一夕暴紅的呢
106. [00:03:20,440 -> 00:03:22,880] 大家知道當時的市佔率有多驚人嗎
107. [00:03:23,280 -> 00:03:24,780] 高達 95%
108. [00:03:25,900 -> 00:03:26,900] 他們當年用了一招
109. [00:03:26,900 -> 00:03:28,700] 超級霸道的戰術
110. [00:03:29,000 -> 00:03:30,900] 就是把外掛程式的體積
111. [00:03:30,900 -> 00:03:33,360] 死死壓縮到只有幾百個 KB
112. [00:03:33,360 -> 00:03:35,220] 然後直接跑去跟微軟
113. [00:03:35,220 -> 00:03:36,360] 還有 Netscape 聯手
114. [00:03:36,540 -> 00:03:38,360] 把 Flash 偷偷塞進
115. [00:03:38,360 -> 00:03:39,740] Windows 98 裡面
116. [00:03:40,180 -> 00:03:40,840] 這代表什麼
117. [00:03:41,160 -> 00:03:43,960] 這代表當時全球 95% 的電腦
118. [00:03:44,260 -> 00:03:46,500] 你只要一開機就強迫中獎
119. [00:03:46,740 -> 00:03:47,600] 已經準備好
120. [00:03:47,600 -> 00:03:48,740] 可以播放 Flash 了
121. [00:03:49,140 -> 00:03:49,940] 這種覆蓋率
122. [00:03:50,140 -> 00:03:52,000] 簡直比你家巷口的便利商店
123. [00:03:52,000 -> 00:03:53,480] 還要陰魂不散啦
124. [00:03:53,980 -> 00:03:56,120] 接下來 我們要進入第一階段
125. [00:03:56,400 -> 00:03:58,640] 來看看 Flash 的黃金時代
126. [00:03:58,920 -> 00:04:01,880] 看它是怎麼統治整個網路世界的
127. [00:04:01,880 -> 00:04:03,820] 如果你是千禧世代
128. [00:04:04,160 -> 00:04:05,300] 接下來要講的東西
129. [00:04:05,300 -> 00:04:07,920] 絕對會喚醒你狂熱的靈魂
130. [00:04:08,460 -> 00:04:09,400] 這時候的 Flash
131. [00:04:09,580 -> 00:04:10,180] 因為加入了
132. [00:04:10,180 -> 00:04:10,940] ActionScript
133. [00:04:10,940 -> 00:04:12,100] 這個程式語言
134. [00:04:12,380 -> 00:04:14,380] 瞬間從一塊單純的畫布
135. [00:04:14,380 -> 00:04:16,980] 進化成一隻威力超強的小怪獸
136. [00:04:17,400 -> 00:04:20,200] 而且它還變成了全球上班族跟學生
137. [00:04:20,340 -> 00:04:21,660] 終極摸魚神器
138. [00:04:21,900 -> 00:04:22,820] 當時像 Newgrounds
139. [00:04:22,820 -> 00:04:24,980] 這種創作社群整個大爆發
140. [00:04:25,380 -> 00:04:27,960] 我們華語圈也掀起了一陣閃客狂潮
141. [00:04:28,500 -> 00:04:30,740] 你想想那些超燃的火柴人格鬥
142. [00:04:30,740 -> 00:04:33,040] 黃金礦工 還有敲打企鵝
143. [00:04:33,240 -> 00:04:34,820] 這些才幾 MB 的小檔案
144. [00:04:35,100 -> 00:04:37,120] 偷偷吃掉了我們不知道多少個
145. [00:04:37,200 -> 00:04:39,540] 本來應該好好念書或上班的下午
146. [00:04:39,860 -> 00:04:40,380] 說真的
147. [00:04:40,780 -> 00:04:43,180] 既紓壓又超級讓人懷念的啦
148. [00:04:43,580 -> 00:04:45,300] 不過 如果你以為 Flash
149. [00:04:45,300 -> 00:04:46,840] 只能用來玩玩小遊戲
150. [00:04:47,280 -> 00:04:48,760] 那你就太小看它了
151. [00:04:49,240 -> 00:04:51,760] 它其實還是現代串流影音的
152. [00:04:51,760 -> 00:04:52,940] 大救星耶
153. [00:04:53,460 -> 00:04:54,680] 在 2005 年以前
154. [00:04:55,100 -> 00:04:57,800] 你在網路上看影片根本是一場悲劇
155. [00:04:58,160 -> 00:05:00,060] 各種播放軟體彈來彈去
156. [00:05:00,060 -> 00:05:03,180] 然後就是無止境的轉圈圈緩衝
157. [00:05:03,560 -> 00:05:04,780] 直到 YouTube 誕生
158. [00:05:05,160 -> 00:05:06,960] 他們做了一個超級聰明的決定
159. [00:05:07,220 -> 00:05:09,100] 就是全部改用特製的
160. [00:05:09,100 -> 00:05:10,420] Flash Video 格式
161. [00:05:10,860 -> 00:05:11,580] 從那之後
162. [00:05:11,860 -> 00:05:13,840] 看影片就像施了魔法一樣
163. [00:05:14,200 -> 00:05:15,740] 在瀏覽器裡面一點就開
164. [00:05:16,040 -> 00:05:17,180] 直接秒速播放
165. [00:05:17,700 -> 00:05:19,740] 而這一點 也完美地說明了
166. [00:05:19,740 -> 00:05:21,660] Flash 當時傲視群雄的
167. [00:05:21,660 -> 00:05:22,420] 超高身價
168. [00:05:22,880 -> 00:05:24,240] 在 2005 年 12 月
169. [00:05:24,540 -> 00:05:25,760] 軟體巨頭 Adobe
170. [00:05:25,760 -> 00:05:26,980] 直接砸下了
171. [00:05:26,980 -> 00:05:28,840] 高達 34 億美元的天價
172. [00:05:28,840 -> 00:05:31,520] 把這顆網路界最閃亮的寶石
173. [00:05:31,520 -> 00:05:32,440] 給買了下來
174. [00:05:32,640 -> 00:05:33,680] 那時候的 Flash
175. [00:05:34,000 -> 00:05:35,080] 裝機率已經達到了
176. [00:05:35,080 -> 00:05:36,760] 不可思議的 98%
177. [00:05:37,320 -> 00:05:39,500] 它絕對是無可爭議的網路霸主
178. [00:05:39,800 -> 00:05:41,420] 可以說是風光到了極點耶
179. [00:05:41,980 -> 00:05:43,220] 但俗話說得好嘛
180. [00:05:43,520 -> 00:05:45,420] 爬得越高 摔得越慘
181. [00:05:45,960 -> 00:05:48,020] 我們現在把目光轉到第二階段
182. [00:05:48,360 -> 00:05:51,420] 來看看這位巨星的天后病發作時期
183. [00:05:51,840 -> 00:05:53,960] 這段時間真的是充滿了臃腫
184. [00:05:54,280 -> 00:05:56,740] 當機 還有無數的公關災難
185. [00:05:56,740 -> 00:06:00,320] 這位曾經輕盈又可愛的小精靈
186. [00:06:00,480 -> 00:06:03,100] 紅了之後 開始變得越來越臃腫
187. [00:06:03,700 -> 00:06:04,700] 越來越傲嬌
188. [00:06:05,280 -> 00:06:06,360] 只要你在筆電上
189. [00:06:06,360 -> 00:06:07,880] 多開幾個 Flash 分頁
190. [00:06:08,220 -> 00:06:09,840] 你的風扇就會發出那種
191. [00:06:09,840 -> 00:06:12,280] 像噴射機起飛一樣的慘叫聲
192. [00:06:12,720 -> 00:06:14,300] 電池電力瞬間尿崩
193. [00:06:14,740 -> 00:06:17,020] 而且它還滿身都是安全漏洞
194. [00:06:17,600 -> 00:06:19,340] 於是 最致命的轉折點
195. [00:06:19,340 -> 00:06:20,880] 在 2007 年到來了
196. [00:06:21,200 -> 00:06:23,080] 第一代 iPhone 橫空出世
197. [00:06:23,700 -> 00:06:25,920] 當大家很興奮地用手機上網的時候
198. [00:06:25,920 -> 00:06:27,140] 驚奇地發現
199. [00:06:27,380 -> 00:06:30,020] 咦 一堆網頁動畫怎麼都不見了
200. [00:06:30,240 -> 00:06:33,100] 畫面上只剩下一個寫著缺少外掛
201. [00:06:33,320 -> 00:06:36,120] 看起來超級可憐的藍色樂高積木
202. [00:06:36,440 -> 00:06:39,120] 沒錯 受夠了天后病的蘋果
203. [00:06:39,380 -> 00:06:40,940] 直接把 Flash 關在門外
204. [00:06:41,260 -> 00:06:43,140] 雙方瞬間引爆戰火
205. [00:06:43,680 -> 00:06:44,900] 這場世紀恩怨
206. [00:06:44,900 -> 00:06:47,560] 終於在 2010 年徹底大爆發
207. [00:06:48,160 -> 00:06:50,140] 賈伯斯在蘋果官網發了一篇
208. [00:06:50,140 -> 00:06:51,980] 長達 1600 字的公開信
209. [00:06:52,180 -> 00:06:53,900] 叫做《對 Flash 的思考》
210. [00:06:53,900 -> 00:06:55,200] 這簡直是一首
211. [00:06:55,200 -> 00:06:56,400] 毫不留情的 Diss track
212. [00:06:56,760 -> 00:06:58,120] 他超級冷酷地
213. [00:06:58,120 -> 00:07:00,080] 列出了 Flash 各大死穴
214. [00:07:00,420 -> 00:07:02,500] 說他太封閉 安全性爛到爆
215. [00:07:02,700 -> 00:07:03,800] 還會狂吃電池
216. [00:07:04,240 -> 00:07:05,840] 但最氣人的是什麼 你知道嗎
217. [00:07:06,120 -> 00:07:08,340] 他說 Flash 是給滑鼠用的
218. [00:07:08,520 -> 00:07:10,400] 根本不懂手指觸控的浪漫
219. [00:07:10,880 -> 00:07:12,460] 而且 如果讓 Flash
220. [00:07:12,460 -> 00:07:13,620] 在 iOS 上跑
221. [00:07:13,920 -> 00:07:15,060] 開發者就不會用心
222. [00:07:15,060 -> 00:07:16,940] 去寫高階的原生 App 了
223. [00:07:17,600 -> 00:07:19,680] 賈伯斯這招 真的是刀刀見骨
224. [00:07:19,780 -> 00:07:21,780] 完全沒在跟這位天后客氣的
225. [00:07:22,420 -> 00:07:23,600] 賈伯斯在這封信裡
226. [00:07:23,800 -> 00:07:25,600] 給出了最致命的一擊
227. [00:07:25,980 -> 00:07:27,080] 他說 Flash
228. [00:07:27,080 -> 00:07:29,060] 是在 PC 時代建立的
229. [00:07:29,420 -> 00:07:31,580] 專為 PC 與滑鼠打造
230. [00:07:32,060 -> 00:07:34,720] 大家想想 這句話的關鍵重點是什麼
231. [00:07:35,140 -> 00:07:37,140] 就是 行動裝置的時代
232. [00:07:37,480 -> 00:07:39,920] 我們需要的是省電 觸控介面
233. [00:07:40,260 -> 00:07:42,060] 還有開放的網路標準
234. [00:07:42,480 -> 00:07:44,080] 而這些 剛好全都是
235. [00:07:44,080 -> 00:07:45,320] Flash 辦不到的事
236. [00:07:45,800 -> 00:07:48,020] 這句話 就像是法官敲下了
237. [00:07:48,020 -> 00:07:51,560] 最終判決的法槌一樣 一槌定音
238. [00:07:51,560 -> 00:07:52,600] 賈伯斯這篇討伐文
239. [00:07:52,840 -> 00:07:54,680] 就像是推倒了第一塊骨牌
240. [00:07:54,980 -> 00:07:58,180] 整個科技界開始了一場超級戲劇性的
241. [00:07:58,340 -> 00:08:00,020] 躲避 Flash 大逃亡
242. [00:08:00,560 -> 00:08:01,400] 2011 年
243. [00:08:01,560 -> 00:08:03,240] Adobe 自己先舉了白旗
244. [00:08:03,480 -> 00:08:04,500] 放棄手機版
245. [00:08:05,040 -> 00:08:06,060] 到了 2015 年
246. [00:08:06,260 -> 00:08:07,840] 連昔日靠他起家的
247. [00:08:07,840 -> 00:08:08,760] 好戰友 YouTube
248. [00:08:09,140 -> 00:08:11,840] 也跳槽去擁抱 HTML5 標準了
249. [00:08:12,200 -> 00:08:13,680] 接著 到 2017 年
250. [00:08:13,880 -> 00:08:16,340] 各大科技巨頭更是聯手宣布了
251. [00:08:16,340 -> 00:08:17,420] Flash 的死期
252. [00:08:17,420 -> 00:08:19,600] 終於在 2020 年底
253. [00:08:19,860 -> 00:08:22,760] 那個內建的終止開關被無情地拉下
254. [00:08:23,080 -> 00:08:25,060] 曾經統治全網路的 Flash
255. [00:08:25,380 -> 00:08:26,460] 正式被拔管
256. [00:08:26,800 -> 00:08:28,540] 含淚劃下了歷史的句點
257. [00:08:29,100 -> 00:08:30,080] 來到最後一個階段
258. [00:08:30,340 -> 00:08:32,720] 我們來聊聊這位巨星留下的遺產
259. [00:08:33,120 -> 00:08:35,080] 看看沒有 Flash 的現代生活
260. [00:08:35,080 -> 00:08:36,780] 到底變成了什麼樣子
261. [00:08:37,300 -> 00:08:40,400] 其實這個故事並沒有以悲劇收場啦
262. [00:08:40,760 -> 00:08:43,200] 我們現在用的前端技術 說白了
263. [00:08:43,460 -> 00:08:44,800] 就是把當年 Flash
264. [00:08:44,800 -> 00:08:46,420] 做過的神奇魔法
265. [00:08:46,420 -> 00:08:48,960] 用更安全 更開放的標準
266. [00:08:48,960 -> 00:08:50,160] 重新包裝了一次
267. [00:08:50,400 -> 00:08:51,400] 你看 Flash
268. [00:08:51,400 -> 00:08:53,300] 那塊神奇的向量畫布
269. [00:08:53,500 -> 00:08:55,800] 轉生成了現在瀏覽器原生的
270. [00:08:55,800 -> 00:08:57,240] Canvas 或 WebGL
271. [00:08:57,760 -> 00:08:59,240] 它超強的運算力
272. [00:08:59,540 -> 00:09:00,980] 交棒給了 WebAssembly
273. [00:09:01,480 -> 00:09:04,140] 而那些原本需要另外安裝的封閉外掛
274. [00:09:04,460 -> 00:09:06,860] 也變成了我們現在每天滑手機的
275. [00:09:06,860 -> 00:09:07,620] 多點觸控
276. [00:09:07,920 -> 00:09:10,200] 還有全球通用的開放網頁標準
277. [00:09:10,600 -> 00:09:13,140] 它就像是一位嚴厲的先鋒老前輩
278. [00:09:13,140 -> 00:09:14,520] 用自己的身軀
279. [00:09:14,520 -> 00:09:16,700] 為現在的科技鋪平了道路
280. [00:09:17,220 -> 00:09:18,560] 但如果要說 Flash
281. [00:09:18,560 -> 00:09:20,520] 留下最偉大的貢獻
282. [00:09:20,900 -> 00:09:22,640] 其實它真正實現了
283. [00:09:22,640 -> 00:09:24,400] 創作權利的民主化
284. [00:09:24,920 -> 00:09:26,960] 在它出現之前 你想做動畫
285. [00:09:27,280 -> 00:09:29,860] 那可是要花大錢請專業工作室咧
286. [00:09:30,480 -> 00:09:32,360] 但是 Flash 讓無數個
287. [00:09:32,360 -> 00:09:33,540] 十幾歲的青少年
288. [00:09:33,840 -> 00:09:36,000] 只要有一台普通的電腦 一支滑鼠
289. [00:09:36,000 -> 00:09:37,700] 就能在自己的房間裡
290. [00:09:37,840 -> 00:09:40,900] 做出震撼幾百萬人的熱血動畫跟遊戲
291. [00:09:40,900 -> 00:09:43,320] 今天我們看到這麼蓬勃發展的
292. [00:09:43,320 -> 00:09:44,380] 獨立遊戲產業
293. [00:09:44,680 -> 00:09:46,380] 許多神作背後的開發者
294. [00:09:46,780 -> 00:09:47,940] 當年可都是被 Flash
295. [00:09:47,940 -> 00:09:49,580] 滋養長大的孩子啊
296. [00:09:49,980 -> 00:09:52,660] 為了不讓這段輝煌的青春回憶
297. [00:09:52,960 -> 00:09:55,560] 隨著技術淘汰而徹底滅絕
298. [00:09:55,940 -> 00:09:59,320] 現在有一群超級熱血的全球開源社群
299. [00:09:59,620 -> 00:10:00,560] 發起了像是
300. [00:10:00,560 -> 00:10:02,040] Ruffle 開源模擬器
301. [00:10:02,340 -> 00:10:03,260] 還有 Flashpoint
302. [00:10:03,260 -> 00:10:04,760] 數位保存計畫
303. [00:10:05,240 -> 00:10:07,000] 它們就像是數位世界的
304. [00:10:07,000 -> 00:10:08,480] 印第安納瓊斯一樣
305. [00:10:08,480 -> 00:10:11,000] 成功搶救了超過十萬款
306. [00:10:11,200 -> 00:10:12,580] Flash 遊戲跟動畫
307. [00:10:12,720 -> 00:10:14,640] 把它們超安全地保存在
308. [00:10:14,640 -> 00:10:16,340] 數位博物館的展廳裡面
309. [00:10:16,720 -> 00:10:18,980] 讓後人 還有我們這些老玩家
310. [00:10:18,980 -> 00:10:20,360] 還能繼續回味
311. [00:10:20,780 -> 00:10:21,880] 回顧 Flash 的一生
312. [00:10:22,160 -> 00:10:24,220] 從 56K 撥接時代的救星
313. [00:10:24,760 -> 00:10:26,860] 變成行動網路時代的絆腳石
314. [00:10:27,420 -> 00:10:28,600] 真的是轟轟烈烈
315. [00:10:29,100 -> 00:10:31,380] 現在我們的網頁雖然變得非常穩定
316. [00:10:31,600 -> 00:10:32,500] 乾淨而且安全
317. [00:10:32,880 -> 00:10:34,660] 但我最後不禁想問大家一個問題
318. [00:10:34,660 -> 00:10:37,040] 在這個什麼都乖乖守規矩
319. [00:10:37,040 -> 00:10:38,960] 模組化的現代網路世界裡
320. [00:10:39,160 -> 00:10:40,700] 你是不是偶爾也會懷念
321. [00:10:41,020 -> 00:10:42,200] 當年 Flash 時代那種
322. [00:10:42,200 -> 00:10:44,360] 雖然會動不動當機 有點混亂
323. [00:10:44,620 -> 00:10:46,060] 卻充滿著野性
324. [00:10:46,060 -> 00:10:48,180] 與絕對自由的創作狂歡呢
325. [00:10:48,680 -> 00:10:49,540] 希望今天的內容
326. [00:10:49,680 -> 00:10:50,640] 讓你對這段可愛
327. [00:10:50,640 -> 00:10:52,340] 又充滿戲劇性的科技史
328. [00:10:52,560 -> 00:10:53,560] 有更深的認識
329. [00:10:53,900 -> 00:10:55,020] 我們下次見囉
