【專題影片字幕校對稿：一個業餘愛好如何征服科技世界】
說明：依據標準字幕規範（每行 8～12 字黃金長度、自然呼吸斷句、專有名詞 100% 準確校正）產出。

001. [00:00:00,000 -> 00:00:00,580] Hi 大家好！
108. [00:03:45,520 -> 00:03:47,520] 在電腦科學界德高望重的
109. [00:03:47,520 -> 00:03:48,840] 塔能鮑姆教授
110. [00:03:49,180 -> 00:03:52,200] 直接在網路上對 Linux 開砲！
111. [00:03:52,200 -> 00:03:53,520] 他批評 Linux 的架構
112. [00:03:53,520 -> 00:03:56,800] 根本是倒退的古董、缺乏跨平台性
113. [00:03:57,140 -> 00:03:59,140] 教授甚至還撂下狠話說：
114. [00:03:59,240 -> 00:04:00,440] 「如果你是我的學生
115. [00:04:00,440 -> 00:04:01,580] 交出這種作業
116. [00:04:01,760 -> 00:04:03,560] 你只能拿到一個不及格！」
117. [00:04:03,820 -> 00:04:06,960] 哇，這個是非常嚴厲的學術打臉
118. [00:04:07,160 -> 00:04:08,540] 完全沒在客氣的！
119. [00:04:09,100 -> 00:04:11,800] 攤開這場世紀論戰來看
120. [00:04:12,160 -> 00:04:14,540] 雙方立場真的超對立：
121. [00:04:14,780 -> 00:04:16,560] 塔能鮑姆教授代表的是
122. [00:04:16,560 -> 00:04:18,560] 學院派的微核心理論
123. [00:04:18,920 -> 00:04:21,060] 追求的是極致的優雅與解耦；
124. [00:04:21,720 -> 00:04:22,860] 而 Linus 代表的
125. [00:04:22,860 -> 00:04:25,140] 則是實用主義的宏核心。
126. [00:04:25,640 -> 00:04:26,820] 面對大教授的批評
127. [00:04:27,040 -> 00:04:29,380] Linus 展現了芬蘭人特有的
128. [00:04:29,380 -> 00:04:31,440] 那種強悍不屈的韌性
129. [00:04:31,740 -> 00:04:33,120] 直接霸氣反擊：
130. [00:04:33,500 -> 00:04:35,180] 「作業系統是用來幹活的
131. [00:04:35,340 -> 00:04:37,360] 不是用來寫論文拿教職的！」
132. [00:04:37,360 -> 00:04:40,320] 這場爭論其實完美驗證了一個真理：
133. [00:04:40,540 -> 00:04:42,020] 一個雖然內部有點亂
134. [00:04:42,240 -> 00:04:44,940] 但能在平價硬體上順暢跑起來、
135. [00:04:44,940 -> 00:04:46,600] 解決現實問題的系統
136. [00:04:46,940 -> 00:04:50,000] 永遠勝過活在實驗室裡的完美理論！
137. [00:04:50,460 -> 00:04:53,820] 【第四部分：魔法契約與大市集】
138. [00:04:54,600 -> 00:04:56,500] 到底是什麼樣的天才決策
139. [00:04:56,760 -> 00:04:59,860] 把這個原本只有 72KB 的學生作業
140. [00:04:59,860 -> 00:05:03,020] 變成了一個勢不可擋的全球運動呢？
141. [00:05:03,380 -> 00:05:05,060] 我們來看看這兩個關鍵：
142. [00:05:05,680 -> 00:05:06,920] 第一個神操作
143. [00:05:06,920 -> 00:05:11,000] 就是這份魔法般的授權合約：GPLv2！
144. [00:05:11,320 -> 00:05:14,100] 它的核心精神叫做 Copyleft。
145. [00:05:14,440 -> 00:05:15,620] 簡單來說就是：
146. [00:05:15,940 -> 00:05:17,640] 任何人都可以免費使用
147. [00:05:17,640 -> 00:05:18,960] 甚至拿去賣錢
148. [00:05:19,260 -> 00:05:21,900] 但條件是只要你修改了程式碼
149. [00:05:22,200 -> 00:05:23,440] 你就必須無條件
150. [00:05:23,440 -> 00:05:25,580] 向全世界公開你的心血！
151. [00:05:25,580 -> 00:05:27,640] 這招真的太狠了
152. [00:05:27,880 -> 00:05:30,380] 完全是給企業設下的一個終極陷阱！
153. [00:05:30,680 -> 00:05:33,360] 它逼得那些互相競爭的科技巨頭
154. [00:05:33,580 -> 00:05:36,100] 在投入數億美元優化系統之後
155. [00:05:36,440 -> 00:05:37,820] 不但不能把它據為己有
156. [00:05:38,120 -> 00:05:41,100] 反而等於是在互相幫對方寫免費的功課！
157. [00:05:41,480 -> 00:05:43,280] 這直接打破了企業壟斷
158. [00:05:43,620 -> 00:05:46,680] 形成了一個超級巨大的代碼共享公地。
159. [00:05:46,680 -> 00:05:47,980] 第二個關鍵
160. [00:05:47,980 -> 00:05:50,780] 是開發模式的徹底顛覆。
161. [00:05:50,940 -> 00:05:53,240] 微軟這些傳統商業巨頭
162. [00:05:53,240 -> 00:05:55,520] 就像是封閉的大教堂
163. [00:05:55,940 -> 00:05:58,380] 少數精英在裡面閉門造車；
164. [00:05:58,760 -> 00:05:59,500] 而 Linux 呢？
165. [00:05:59,840 -> 00:06:02,220] 它就像是一個喧鬧混亂、
166. [00:06:02,580 -> 00:06:04,660] 去中心化的全球大市集！
167. [00:06:04,660 -> 00:06:08,720] 數以萬計的怪傑在網路上共同協作
168. [00:06:08,960 -> 00:06:11,100] Linus 這時候就化身為
169. [00:06:11,100 -> 00:06:13,400] 這個市集的「仁慈獨裁者」。
170. [00:06:13,540 -> 00:06:16,260] 他有著極度嚴苛的程式碼品味
171. [00:06:16,760 -> 00:06:20,240] 只允許最優雅、最乾淨的程式碼合併進去。
172. [00:06:20,560 -> 00:06:22,520] 這套模式證明了一件事：
173. [00:06:22,960 -> 00:06:24,740] 「只要有足夠多的眼球
174. [00:06:25,080 -> 00:06:27,160] 所有的 Bug 都將無所遁形！」
175. [00:06:27,760 -> 00:06:29,180] 到了 1996 年
176. [00:06:29,460 -> 00:06:31,740] 社群覺得該有個吉祥物了。
177. [00:06:32,080 -> 00:06:36,600] 大家都在提議老鷹、鯊魚這種超酷的動物
178. [00:06:37,020 -> 00:06:39,040] 結果你猜 Linus 選了什麼？
179. [00:06:39,640 -> 00:06:41,000] 一隻企鵝！
180. [00:06:41,380 -> 00:06:41,740] 為什麼？
181. [00:06:42,400 -> 00:06:45,480] 因為他曾在澳洲的動物園被企鵝咬過
182. [00:06:45,840 -> 00:06:49,460] 而且他希望這隻企鵝看起來吃得很飽
183. [00:06:49,720 -> 00:06:51,120] 剛喝完一杯啤酒
184. [00:06:51,540 -> 00:06:53,100] 心滿意足地坐在地上。
185. [00:06:53,100 -> 00:06:55,080] 你拿這隻充滿童心
186. [00:06:55,080 -> 00:06:56,680] 又有點荒謬的吉祥物
187. [00:06:56,720 -> 00:06:59,600] 去對比 1990 年代那種冷冰冰、
188. [00:06:59,600 -> 00:07:03,360] 到處都是律師警告與專利壁壘的商業世界
189. [00:07:03,700 -> 00:07:06,320] 真的是有夠幽默、又有親和力的！
190. [00:07:06,680 -> 00:07:08,960] 【第五部分：帝國的震顫】
191. [00:07:09,320 -> 00:07:11,240] 當這隻喝著啤酒的企鵝
192. [00:07:11,240 -> 00:07:13,020] 搖搖晃晃地走出市集
193. [00:07:13,500 -> 00:07:15,360] 開始走向全世界的時候
194. [00:07:15,780 -> 00:07:18,000] 那些高高在上的巨頭帝國
195. [00:07:18,360 -> 00:07:21,860] 終於開始感受到靈魂深處的恐懼了！
196. [00:07:22,520 -> 00:07:25,560] 1998 年外洩的微軟機密備忘錄
197. [00:07:25,700 -> 00:07:28,000] 也就是著名的《萬聖節文件》
198. [00:07:28,340 -> 00:07:30,280] 揭露了一個超驚人的真相：
199. [00:07:30,660 -> 00:07:31,940] 當時的微軟在外面
200. [00:07:31,940 -> 00:07:34,820] 總是表現出一副無堅不摧的樣子
201. [00:07:35,020 -> 00:07:36,680] 但在這些內部文件裡
202. [00:07:36,920 -> 00:07:39,220] 他們其實對 Linux 的高穩定性
203. [00:07:39,500 -> 00:07:43,060] 還有那種零授權費的威脅怕得要命！
204. [00:07:43,480 -> 00:07:44,740] 他們悲哀地發現
205. [00:07:45,120 -> 00:07:48,020] 以前那套用來嚇唬競爭對手的商業策略
206. [00:07:48,160 -> 00:07:51,180] 在這個去中心化的業餘愛好面前
207. [00:07:51,420 -> 00:07:52,900] 竟然一點用都沒有！
208. [00:07:53,560 -> 00:07:56,420] 這種恐懼最終演變成了變本加厲
209. [00:07:56,980 -> 00:07:58,140] 到了 2001 年
210. [00:07:58,440 -> 00:08:00,120] 微軟執行長史蒂夫·鮑爾默
211. [00:08:00,120 -> 00:08:02,160] 直接在鏡頭前崩潰發言：
212. [00:08:02,640 -> 00:08:04,100] 「Linux 是一顆癌症！
213. [00:08:04,700 -> 00:08:05,900] 它在智財權的意義上
214. [00:08:05,900 -> 00:08:08,300] 附著在它所接觸的一切事物上！」
215. [00:08:08,680 -> 00:08:11,080] 這句話真的是經典中的經典
216. [00:08:11,300 -> 00:08:12,660] 但也充滿了諷刺。
217. [00:08:12,660 -> 00:08:15,600] 因為就在微軟高層大聲咒罵的同時
218. [00:08:15,760 -> 00:08:17,540] 像 IBM 這些硬體巨頭
219. [00:08:17,540 -> 00:08:19,140] 早就看清了現實
220. [00:08:19,460 -> 00:08:22,460] 直接砸下十億美元去擁抱這隻企鵝了！
221. [00:08:22,680 -> 00:08:23,920] 果然資本的嗅覺
222. [00:08:24,160 -> 00:08:25,620] 終究比咒罵來得誠實。
223. [00:08:25,620 -> 00:08:25,860] 【第六部分：意外統治世界】
224. [00:08:27,120 -> 00:08:30,400] 最後，第六部分：意外統治世界。
225. [00:08:30,800 -> 00:08:32,680] 我們直接把時間快轉 30 年
226. [00:08:32,680 -> 00:08:35,920] 來看看這場史詩級戰役的最終大結局！
227. [00:08:36,580 -> 00:08:37,980] 接下來這些數據
228. [00:08:38,340 -> 00:08:40,260] 保證讓你下巴掉下來：
229. [00:08:40,400 -> 00:08:41,960] 30 年後的今天
230. [00:08:41,960 -> 00:08:44,340] 全球前五百大超級電腦
231. [00:08:44,660 -> 00:08:47,040] 百分之百、全部都在運行 Linux！
232. [00:08:47,480 -> 00:08:49,980] 超過 96% 的網站伺服器
233. [00:08:50,580 -> 00:08:52,000] 九成以上的雲端運算
234. [00:08:52,280 -> 00:08:54,120] 還有你手上的 Android 手機
235. [00:08:54,500 -> 00:08:56,140] 底層全部都是 Linux！
236. [00:08:56,640 -> 00:08:57,500] 太扯了吧！
237. [00:08:57,980 -> 00:09:01,540] 甚至連 NASA 派去火星的探測車跟直升機
238. [00:09:01,840 -> 00:09:03,300] 裡面跑的也是 Linux！
239. [00:09:03,300 -> 00:09:07,300] 當年那個被教授笑是過時古董的學生玩具
240. [00:09:07,660 -> 00:09:10,460] 現在竟然變成了我們整個現代數位文明
241. [00:09:10,820 -> 00:09:13,280] 甚至是跨星際探索的基石！
242. [00:09:13,960 -> 00:09:14,840] 而整個故事
243. [00:09:15,140 -> 00:09:17,980] 最充滿黑色幽默的最高潮，就在這裡：
244. [00:09:18,380 -> 00:09:22,480] 2014 年，曾經痛罵 Linux 是癌症的微軟
245. [00:09:22,700 -> 00:09:25,380] 在新任執行長納德拉的帶領下
246. [00:09:25,760 -> 00:09:29,640] 居然公開打出了「微軟愛 Linux」的巨幅標語！
247. [00:09:29,640 -> 00:09:31,420] 微軟不僅全面投降
248. [00:09:31,640 -> 00:09:34,000] 把 Linux 內建到了 Windows 系統裡面
249. [00:09:34,220 -> 00:09:36,500] 後來甚至還花了 75 億美元
250. [00:09:36,500 -> 00:09:38,980] 收購了開源界的大本營 GitHub！
251. [00:09:39,380 -> 00:09:41,440] 當年那個在宿舍裡的業餘愛好
252. [00:09:41,720 -> 00:09:44,940] 最終硬生生把全世界最龐大的商業帝國
253. [00:09:44,940 -> 00:09:46,840] 逼成了自己的死忠粉絲！
254. [00:09:47,580 -> 00:09:48,660] 故事說到這
255. [00:09:49,000 -> 00:09:51,900] 留下了一個非常值得我們深思的問題：
256. [00:09:52,460 -> 00:09:54,660] Linus 後來出了一本自傳
257. [00:09:55,060 -> 00:09:56,420] 書名非常平淡
258. [00:09:56,580 -> 00:09:58,380] 就叫做《只是為了好玩》。
259. [00:09:58,380 -> 00:10:00,640] 在一個大家都在瘋狂砸錢、
260. [00:10:00,900 -> 00:10:03,720] 爭奪護城河跟專利壁壘的科技圈裡
261. [00:10:03,880 -> 00:10:07,280] 最終改變人類歷史、打碎這些高牆的
262. [00:10:07,500 -> 00:10:10,480] 卻只是一個純粹想找點樂子的大學生！
263. [00:10:10,760 -> 00:10:12,720] 純粹的好奇心和樂趣
264. [00:10:13,020 -> 00:10:15,620] 竟然戰勝了極致的貪婪與壟斷！
265. [00:10:16,180 -> 00:10:17,440] 所以，你想想看
266. [00:10:17,780 -> 00:10:19,760] 如果你做一件事不為了賺錢
267. [00:10:20,180 -> 00:10:21,880] 純粹只是為了好玩
268. [00:10:22,140 -> 00:10:25,120] 你覺得自己能創造出什麼不可思議的東西呢？
269. [00:10:25,120 -> 00:10:28,380] 希望今天這個故事能帶給你一些全新的靈感
270. [00:10:28,680 -> 00:10:29,580] 我們下次見囉！
