【專題影片字幕校對稿：科技大劫案：故障機如何摧毀諾基亞】
說明：依據影視級標準作業程序（SOP）（每行 <= 16 字黃金視線帶、自然呼吸斷句、專有名詞 100% 準確校正）產出。

001. [00:00:00,000 -> 00:00:01,720] 各位 歡迎來到今天的解密
069. [00:02:14,360 -> 00:02:17,020] 我們蘋果要自己出來做手機
070. [00:02:17,200 -> 00:02:19,320] 這就是後來極度機密的
071. [00:02:19,320 -> 00:02:20,360] 紫色計劃
072. [00:02:20,900 -> 00:02:23,240] 當時蘋果內部馬上就展開了
073. [00:02:23,240 -> 00:02:25,580] 一場超殘酷的雙雄對決
074. [00:02:26,020 -> 00:02:26,880] 有一派人主張
075. [00:02:26,880 -> 00:02:28,080] 直接把 iPod
076. [00:02:28,080 -> 00:02:29,780] 那個經典的實體滾輪
077. [00:02:29,780 -> 00:02:31,560] 硬塞進手機裡就好
078. [00:02:31,800 -> 00:02:33,620] 結果呢 徹底失敗
079. [00:02:33,980 -> 00:02:36,640] 你想想 用轉盤滾輪選字發簡訊
080. [00:02:36,900 -> 00:02:38,220] 那感覺簡直就像在用
081. [00:02:38,220 -> 00:02:40,500] 阿公年代的轉盤電話發電報一樣
082. [00:02:40,700 -> 00:02:41,540] 會讓人瘋掉的
083. [00:02:41,540 -> 00:02:42,900] 另一派更狠
084. [00:02:43,160 -> 00:02:45,240] 提出了一個超級瘋狂的想法
085. [00:02:45,240 -> 00:02:47,700] 要把龐大的 Mac 電腦作業系統
086. [00:02:47,700 -> 00:02:51,160] 直接縮小塞進那顆微弱的手機晶片裡
087. [00:02:51,640 -> 00:02:53,760] 當時的硬體工程師聽到這個提案
088. [00:02:53,760 -> 00:02:54,660] 直接痛批
089. [00:02:54,860 -> 00:02:56,200] 這根本就是痴人說夢
090. [00:02:56,640 -> 00:02:58,680] 就在整個開發陷入僵局的時候
091. [00:02:59,160 -> 00:03:00,660] 設計總監強納生·伊夫
092. [00:03:00,660 -> 00:03:02,140] 向賈伯斯展示了一個
093. [00:03:02,140 -> 00:03:04,780] 名叫多點觸控的實驗室黑科技
094. [00:03:05,160 -> 00:03:06,560] 當賈伯斯親眼看到
095. [00:03:06,560 -> 00:03:09,260] 只要用兩根手指在玻璃上輕輕一捏
096. [00:03:09,640 -> 00:03:12,260] 照片就能如絲般順滑的縮放時
097. [00:03:12,560 -> 00:03:13,920] 他簡直驚為天人
098. [00:03:14,340 -> 00:03:15,420] 他當下立刻下令
099. [00:03:15,900 -> 00:03:17,680] 廢除所有的實體按鍵
100. [00:03:18,060 -> 00:03:19,080] 未來的手機正面
101. [00:03:19,080 -> 00:03:21,340] 只能留下一塊純粹的玻璃
102. [00:03:21,760 -> 00:03:23,480] 不過這個超狂的決定
103. [00:03:23,480 -> 00:03:25,700] 差一點點就引發大災難
104. [00:03:26,220 -> 00:03:27,920] 就在發表會前幾個月
105. [00:03:28,220 -> 00:03:30,200] 賈伯斯發現自己口袋裡的鑰匙
106. [00:03:30,200 -> 00:03:32,600] 居然把塑膠螢幕的原型機
107. [00:03:32,600 -> 00:03:33,460] 給刮花了
108. [00:03:33,460 -> 00:03:35,040] 他氣得大發雷霆
109. [00:03:35,320 -> 00:03:37,120] 要求全部換成純玻璃
110. [00:03:37,560 -> 00:03:38,620] 可是當時世界上
111. [00:03:38,620 -> 00:03:41,560] 根本就沒有那麼堅硬又超薄的玻璃呀
112. [00:03:42,040 -> 00:03:43,120] 在僅剩六個月
113. [00:03:43,120 -> 00:03:44,980] 這種死亡倒數的逼迫下
114. [00:03:45,380 -> 00:03:47,520] 康寧公司被逼得去翻出他們
115. [00:03:47,520 -> 00:03:50,740] 1960 年代早就被遺忘的舊配方
116. [00:03:51,140 -> 00:03:52,780] 這才奇蹟般地催生了
117. [00:03:52,780 -> 00:03:54,780] 後來改變現代材料史的
118. [00:03:54,780 -> 00:03:55,720] 大猩猩玻璃
119. [00:03:56,260 -> 00:03:59,000] 好了 硬體總算是在最後一刻搞定了
120. [00:03:59,180 -> 00:04:01,320] 但真正可怕的還在後頭
121. [00:04:01,320 -> 00:04:04,260] 各位 請把 2007 年的這場
122. [00:04:04,260 -> 00:04:05,500] Macworld 發表會
123. [00:04:05,500 -> 00:04:07,700] 當作一部驚天動地的
124. [00:04:07,700 -> 00:04:09,360] 銀行搶案電影來看
125. [00:04:09,560 -> 00:04:13,260] 因為賈伯斯即將在全世界的媒體面前
126. [00:04:13,260 -> 00:04:17,040] 展示一台隨時會暴斃的電子危樓
127. [00:04:17,420 -> 00:04:19,000] 為什麼我會說它是危樓
128. [00:04:19,160 -> 00:04:21,760] 關鍵就在這個數字 128
129. [00:04:22,300 -> 00:04:22,880] 你知道嗎
130. [00:04:23,120 -> 00:04:24,460] 初代 iPhone 的記憶體
131. [00:04:24,460 -> 00:04:27,080] 竟然只有少得可憐的 128MB
132. [00:04:27,560 -> 00:04:28,580] 但它卻要跑一個
133. [00:04:28,580 -> 00:04:30,200] 桌面等級的作業系統
134. [00:04:30,200 -> 00:04:31,160] 這代表什麼
135. [00:04:31,400 -> 00:04:33,220] 這代表你隨便開兩個 App
136. [00:04:33,560 -> 00:04:35,220] 記憶體就會瞬間被榨乾
137. [00:04:35,460 -> 00:04:36,800] 然後系統就會大恐慌
138. [00:04:36,960 -> 00:04:38,240] 直接給你黑屏重啟
139. [00:04:38,780 -> 00:04:40,180] 當時那台原型機
140. [00:04:40,180 -> 00:04:42,440] 說穿了真的就是靠著膠帶
141. [00:04:42,440 -> 00:04:45,600] 跟工程師的祈禱勉強黏在一起的
142. [00:04:45,940 -> 00:04:47,240] Wi-Fi 有高達 40%
143. [00:04:47,980 -> 00:04:49,400] 的機率會徹底斷線
144. [00:04:49,780 -> 00:04:51,280] 通話只要超過 2 分鐘
145. [00:04:51,580 -> 00:04:53,600] 晶片保證過熱當機
146. [00:04:53,600 -> 00:04:55,800] 最扯的是什麼 你知道嗎
147. [00:04:55,860 -> 00:04:58,260] 為了怕現場收訊太差丟臉
148. [00:04:58,660 -> 00:05:01,380] 工程師竟然直接篡改系統代碼
149. [00:05:01,740 -> 00:05:03,720] 強制讓螢幕右上角的訊號
150. [00:05:03,720 -> 00:05:06,480] 永遠死死鎖定在五格滿格
151. [00:05:07,000 -> 00:05:08,580] 他們甚至還在展場後台
152. [00:05:08,580 -> 00:05:11,060] 偷偷藏了一座專屬的行動基地台
153. [00:05:11,480 -> 00:05:13,180] 而且賈伯斯的講桌底下
154. [00:05:13,180 -> 00:05:16,160] 還隨時準備了五台一模一樣的手機
155. [00:05:16,160 -> 00:05:17,180] 等著接力
156. [00:05:17,180 -> 00:05:20,440] 為了保證這場秀絕對不能翻車
157. [00:05:20,640 -> 00:05:23,700] 工程師們替賈伯斯量身打造了一條
158. [00:05:23,700 -> 00:05:26,240] 極度嚴苛的黃金操作路徑
159. [00:05:26,480 -> 00:05:29,560] 他必須 絕對必須嚴格遵守這個順序
160. [00:05:29,900 -> 00:05:31,580] 先播音樂 再打電話
161. [00:05:31,880 -> 00:05:33,800] 接著看照片 最後上網
162. [00:05:34,180 -> 00:05:35,760] 如果他在台上一開心
163. [00:05:35,760 -> 00:05:37,540] 稍微偏離了這個順序
164. [00:05:37,860 -> 00:05:39,800] 比方說先上網再看照片
165. [00:05:40,180 -> 00:05:42,320] 手機的記憶體就會立刻爆炸
166. [00:05:42,560 -> 00:05:45,480] 當場在幾千名記者面前死機給你看
167. [00:05:45,880 -> 00:05:47,820] 這就造就了科技史上
168. [00:05:47,820 -> 00:05:50,140] 最反差也最經典的一幕
169. [00:05:50,480 -> 00:05:52,920] 在舞台上 賈伯斯行雲流水
170. [00:05:52,920 -> 00:05:55,480] 簡直像個降臨人間的科技之神
171. [00:05:55,480 -> 00:05:57,580] 在展示這款革命性產品
172. [00:05:58,080 -> 00:05:59,980] 但在你看不到的後台控制室裡
173. [00:06:00,320 -> 00:06:01,900] 每一位工程師手裡
174. [00:06:01,900 -> 00:06:03,120] 都緊緊抓著一杯
175. [00:06:03,120 -> 00:06:04,840] 麥卡倫 12 年威士忌
176. [00:06:05,300 -> 00:06:07,460] 賈伯斯在台上每成功熬過一個功能
177. [00:06:07,660 -> 00:06:09,760] 他們在台下就猛灌一口酒壓驚
178. [00:06:10,260 -> 00:06:11,760] 就這樣整整 90 分鐘
179. [00:06:12,260 -> 00:06:14,800] 這台半成品竟然一次都沒有當機
180. [00:06:15,400 -> 00:06:18,460] 發表會總算是圓滿落幕了
181. [00:06:18,720 -> 00:06:20,420] 後台的威士忌也全喝光了
182. [00:06:20,600 -> 00:06:21,520] 但大家要知道
183. [00:06:22,000 -> 00:06:24,860] 這場騙局之所以能夠徹底改變世界
184. [00:06:25,240 -> 00:06:26,340] 是因為 iPhone
185. [00:06:26,340 -> 00:06:28,880] 不僅僅是一支比較好用的手機而已
186. [00:06:29,320 -> 00:06:31,000] 它對整個傳統產業
187. [00:06:31,000 -> 00:06:33,520] 發動了一次冷酷無情的降維打擊
188. [00:06:33,940 -> 00:06:36,500] 完全改寫了所有的遊戲規則
189. [00:06:37,040 -> 00:06:40,780] 這就是所謂軟體定義硬體的恐怖魔力
190. [00:06:40,780 -> 00:06:44,140] 以前傳統手機的塑膠按鍵是死的
191. [00:06:44,140 -> 00:06:45,240] 但在 iPhone 上
192. [00:06:45,240 -> 00:06:46,320] 你需要打字的時候
193. [00:06:46,600 -> 00:06:48,200] 鍵盤自己會浮現出來
194. [00:06:48,580 -> 00:06:49,640] 你想玩遊戲的時候
195. [00:06:49,980 -> 00:06:52,220] 整塊玻璃瞬間就變成你的搖桿
196. [00:06:52,660 -> 00:06:55,380] 蘋果更是直接把完整的網路瀏覽器
197. [00:06:55,680 -> 00:06:57,220] 還有電腦級別的作業系統
198. [00:06:57,220 -> 00:06:58,740] 全部塞進了你的口袋
199. [00:06:59,200 -> 00:07:01,740] 這種把軟硬體生態完美結合的做法
200. [00:07:02,040 -> 00:07:03,460] 直接把當時只能靠
201. [00:07:03,460 -> 00:07:05,000] 賣硬體功能的舊時代
202. [00:07:05,320 -> 00:07:06,300] 狠狠踩在腳下
203. [00:07:06,820 -> 00:07:08,800] 還有一個更不可思議的細節
204. [00:07:08,940 -> 00:07:10,480] 就是那個慣性滑動
205. [00:07:10,880 -> 00:07:11,440] 大家想想
206. [00:07:11,440 -> 00:07:13,340] 我們滑手機的時候那個手感
207. [00:07:13,760 -> 00:07:15,980] 蘋果當時不只是在寫程式碼而已
208. [00:07:16,340 -> 00:07:17,660] 他們根本是把物理學
209. [00:07:17,660 -> 00:07:19,460] 直接寫進了這塊玻璃裡
210. [00:07:19,900 -> 00:07:21,760] 當你的手指輕輕拂過螢幕
211. [00:07:22,100 -> 00:07:24,160] 清單會帶著慣性繼續往下滑
212. [00:07:24,540 -> 00:07:27,180] 滑到底還會優雅地像彈簧一樣回彈
213. [00:07:27,640 -> 00:07:30,220] 這種有重量 有摩擦力的真實觸感
214. [00:07:30,500 -> 00:07:32,400] 讓這塊原本冷冰冰的玻璃
215. [00:07:32,400 -> 00:07:34,220] 破天荒地擁有了靈魂
216. [00:07:34,780 -> 00:07:37,580] 面對這股排山倒海而來的數位海嘯
217. [00:07:37,840 -> 00:07:40,780] 那些舊時代的科技巨頭們在幹嘛呢
218. [00:07:41,280 -> 00:07:42,380] 說出來你可能不信
219. [00:07:42,580 -> 00:07:43,860] 他們正舒舒服服地
220. [00:07:43,860 -> 00:07:45,800] 坐在自己華麗的城堡裡
221. [00:07:46,040 -> 00:07:48,080] 發出最狂妄的嘲笑聲
222. [00:07:48,360 -> 00:07:49,520] 完全沒有意識到
223. [00:07:49,520 -> 00:07:51,900] 自己的死期馬上就要到了
224. [00:07:52,340 -> 00:07:53,260] 發表會當天
225. [00:07:53,480 -> 00:07:55,820] 當時的微軟執行長史蒂夫·鮑爾默
226. [00:07:55,820 -> 00:07:57,320] 一聽到 iPhone
227. [00:07:57,320 -> 00:07:58,500] 竟然要賣 500 美元
228. [00:07:59,040 -> 00:08:00,880] 他直接在鏡頭前笑到不行
229. [00:08:01,320 -> 00:08:04,140] 他用一種超級高高在上的語氣斷言
230. [00:08:04,440 -> 00:08:06,420] 這支沒有實體鍵盤的手機
231. [00:08:06,420 -> 00:08:07,740] 對商務人士來說
232. [00:08:07,740 -> 00:08:09,480] 根本就是個昂貴的玩具
233. [00:08:09,860 -> 00:08:11,040] 他完全瞎了眼
234. [00:08:11,360 -> 00:08:13,140] 看不見全螢幕設計背後
235. [00:08:13,140 -> 00:08:14,520] 蘊含的無限可能
236. [00:08:15,100 -> 00:08:16,360] 畫面轉到加拿大
237. [00:08:16,740 -> 00:08:20,000] 黑莓機的高層們看著發表會重播
238. [00:08:20,380 -> 00:08:22,100] 臉上更寫滿了不屑
239. [00:08:22,480 -> 00:08:23,920] 他們甚至一口咬定
240. [00:08:24,200 -> 00:08:26,760] 賈伯斯絕對在台上說謊作假
241. [00:08:26,760 -> 00:08:27,920] 對他們而言
242. [00:08:28,120 -> 00:08:30,960] 要求使用者在一塊光滑的玻璃上打字
243. [00:08:31,260 -> 00:08:32,680] 這簡直是反人類
244. [00:08:33,060 -> 00:08:34,640] 要把完整的電腦瀏覽器
245. [00:08:34,640 -> 00:08:36,340] 塞進那麼小的裝置裡
246. [00:08:36,580 -> 00:08:39,160] 更是直接違反了基礎的物理學定律
247. [00:08:39,640 -> 00:08:40,660] 這種極度的傲慢
248. [00:08:40,660 -> 00:08:42,220] 讓他們徹底變得盲目
249. [00:08:42,680 -> 00:08:44,960] 但是有一群人絕對笑不出來
250. [00:08:45,380 -> 00:08:45,980] 幾個月後
251. [00:08:46,160 -> 00:08:47,700] 諾基亞的硬體工程師
252. [00:08:47,700 -> 00:08:49,040] 在芬蘭的實驗室裡
253. [00:08:49,440 -> 00:08:50,940] 小心翼翼地將買來的
254. [00:08:50,940 -> 00:08:52,040] iPhone 大卸八塊
255. [00:08:52,040 -> 00:08:54,520] 當他們成功反向編譯了系統之後
256. [00:08:54,840 -> 00:08:57,580] 整個實驗室瞬間陷入了死一般的寂靜
257. [00:08:58,220 -> 00:09:00,860] 因為他們驚恐地發現了這殘酷的真相
258. [00:09:01,320 -> 00:09:02,960] 這玩意兒根本不是什麼手機
259. [00:09:03,340 -> 00:09:05,440] 這是一台領先他們至少五年的
260. [00:09:05,440 -> 00:09:06,760] 微型超級電腦
261. [00:09:07,300 -> 00:09:09,760] 雖然基層工程師早就崩潰了
262. [00:09:09,880 -> 00:09:12,280] 但諾基亞的高層依然選擇
263. [00:09:12,280 -> 00:09:14,760] 把頭埋在沙子裡逃避現實
264. [00:09:14,760 -> 00:09:16,400] 就這樣拖了四年
265. [00:09:16,620 -> 00:09:17,820] 直到 2011 年
266. [00:09:18,080 -> 00:09:20,100] 新任執行長史蒂芬·埃洛普
267. [00:09:20,100 -> 00:09:22,840] 才終於發出了那封極度絕望
268. [00:09:23,220 -> 00:09:25,920] 著名的《燃燒的平台》內部備忘錄
269. [00:09:26,360 -> 00:09:27,920] 但一切都太遲了
270. [00:09:28,340 -> 00:09:29,940] 曾經不可一世的諾基亞
271. [00:09:30,240 -> 00:09:31,840] 黑莓、微軟手機帝國
272. [00:09:32,120 -> 00:09:34,600] 就在短短幾年之內兵敗如山倒
273. [00:09:34,800 -> 00:09:36,140] 徹底被時代淘汰
274. [00:09:36,640 -> 00:09:39,060] 那一場用騙術、膠帶和威士忌
275. [00:09:39,280 -> 00:09:41,580] 勉強撐下來的 90 分鐘發表會
276. [00:09:42,040 -> 00:09:43,640] 就這樣瞬間埋葬了舊神
277. [00:09:43,640 -> 00:09:46,640] 開啟了我們現在習以為常的智慧時代
278. [00:09:46,760 -> 00:09:48,600] 這段歷史血淋淋地告訴我們
279. [00:09:48,780 -> 00:09:49,780] 一個帝國的崩塌
280. [00:09:49,780 -> 00:09:51,500] 往往只是轉瞬之間的事
281. [00:09:51,940 -> 00:09:53,560] 各位 這真的不禁讓我們想問
282. [00:09:53,560 -> 00:09:54,840] 一個非常刺激的問題
283. [00:09:55,480 -> 00:09:56,660] 放眼現在的科技界
284. [00:09:57,040 -> 00:09:59,480] 又是哪一家看似堅不可摧的巨頭
285. [00:09:59,860 -> 00:10:01,720] 正安穩地坐在自己的城堡裡
286. [00:10:02,100 -> 00:10:03,820] 對著即將顛覆他們的革命
287. [00:10:04,000 -> 00:10:05,400] 發出狂妄的嘲笑呢
288. [00:10:05,880 -> 00:10:07,800] 大家可以在心裡好好想想這個問題
289. [00:10:08,220 -> 00:10:09,240] 我們下次解密見
