【專題影片字幕校對稿：穿皮衣的鳳凰：NVIDIA 的意外帝國】
說明：依據影視級標準作業程序（SOP）（每行 <= 16 字黃金視線帶、自然呼吸斷句、專有名詞 100% 準確校正）產出。

001. [00:00:00,000 -> 00:00:02,020] 歡迎來到這份資料的深度解析
088. [00:02:53,040 -> 00:02:55,300] 被腰斬到剩下不到三十人
089. [00:02:55,660 -> 00:02:58,200] 你可以想像一下那恐慌畫面
090. [00:02:58,480 -> 00:03:00,960] 黃仁勳坐在空蕩蕩的辦公室裡
091. [00:03:01,200 -> 00:03:02,440] 財務主管走進來
092. [00:03:02,540 -> 00:03:03,840] 跟他說 老闆
093. [00:03:04,320 -> 00:03:05,220] 我們帳上的錢
094. [00:03:05,440 -> 00:03:07,200] 剛好只夠給剩下的員工
095. [00:03:07,320 -> 00:03:09,360] 發最後三十天的薪水了
096. [00:03:09,720 -> 00:03:10,320] 沒錯
097. [00:03:10,560 -> 00:03:12,020] 距離公司全面崩潰
098. [00:03:12,260 -> 00:03:13,580] 只剩下短短一個月
099. [00:03:14,200 -> 00:03:16,940] 就在這走投無路快要完蛋時刻
100. [00:03:17,240 -> 00:03:19,020] 發生了一件商業史上
101. [00:03:19,160 -> 00:03:21,040] 有夠不可思議的軼事
102. [00:03:21,440 -> 00:03:23,680] 黃仁勳硬著頭皮飛到日本
103. [00:03:23,980 -> 00:03:25,400] 向當時最大的客戶
104. [00:03:25,960 -> 00:03:26,310] 也就是世嘉的社長
105. [00:03:26,310 -> 00:03:26,660] 入交昭一郎坦白
106. [00:03:26,660 -> 00:03:30,140] 非常勇敢地承認
107. [00:03:30,380 -> 00:03:32,640] NVIDIA 的技術徹底搞錯了
108. [00:03:32,920 -> 00:03:35,400] 但他也同時懇求對方不要撤資
109. [00:03:35,880 -> 00:03:37,220] 你想想 一般來說
110. [00:03:37,340 -> 00:03:39,600] 客戶早就翻臉告上法院了對吧
111. [00:03:39,960 -> 00:03:42,780] 但世嘉的社長不僅沒要求賠償
112. [00:03:42,980 -> 00:03:45,800] 簡直發了一張史詩級好人卡
113. [00:03:46,100 -> 00:03:47,080] 出於敬意
114. [00:03:47,280 -> 00:03:50,200] 竟然把剩下五百萬美元研發資金
115. [00:03:50,380 -> 00:03:51,660] 如期匯給了他們
116. [00:03:52,000 -> 00:03:53,880] 這筆充滿憐憫的救命錢
117. [00:03:54,100 -> 00:03:55,240] 就這樣硬生生地
118. [00:03:55,240 -> 00:03:57,940] 把公司從鬼門關前拉了回來
119. [00:03:58,220 -> 00:03:59,220] 第三幕
120. [00:03:59,500 -> 00:04:00,880] 砸碎巫毒神話
121. [00:04:01,380 -> 00:04:03,300] 黃氏定律與六個月狂飆
122. [00:04:04,000 -> 00:04:06,980] 拿到救命錢的輝達雖然學乖了
123. [00:04:07,480 -> 00:04:09,880] 但擋在他們眼前的
124. [00:04:09,880 -> 00:04:11,800] 是一隻市占率高達 85%
125. [00:04:12,700 -> 00:04:15,280] 令人完全窒息的超級大魔王
126. [00:04:15,860 -> 00:04:18,300] 3Dfx 的巫毒顯示卡
127. [00:04:18,860 -> 00:04:22,000] 面對這隻巨獸 黃仁勳瘋了
128. [00:04:22,320 -> 00:04:25,100] 祭出了近乎偏執的黃氏定律
129. [00:04:25,620 -> 00:04:27,020] 把產品的更新週期
130. [00:04:27,360 -> 00:04:29,440] 縮短到極度瘋狂的六個月
131. [00:04:29,920 -> 00:04:32,420] 規定每半年效能就必須翻倍
132. [00:04:32,860 -> 00:04:34,300] 當時的 3Dfx
133. [00:04:34,620 -> 00:04:36,420] 可是要 18 到 24 個月
134. [00:04:36,420 -> 00:04:37,400] 才推出新產品
135. [00:04:38,220 -> 00:04:41,300] 輝達就像不知疲倦的推土機
136. [00:04:41,680 -> 00:04:43,260] 以前所未見的速度
137. [00:04:43,600 -> 00:04:46,600] 徹底輾壓了對手緩慢研發步調
138. [00:04:47,140 -> 00:04:48,380] 到了 1999 年
139. [00:04:48,520 -> 00:04:48,940] NVIDIA
140. [00:04:48,940 -> 00:04:50,500] 推出了 GeForce 256
141. [00:04:51,080 -> 00:04:51,660] 這一步
142. [00:04:51,860 -> 00:04:54,220] 不只是贏得一場商業競爭
143. [00:04:54,360 -> 00:04:54,820] 那麼簡單
144. [00:04:55,340 -> 00:04:57,300] 他們是直接創造了歷史
145. [00:04:57,380 -> 00:05:00,580] 這顆晶片不僅打敗了 3Dfx
146. [00:05:01,140 -> 00:05:03,800] 它甚至定義了一個全新名詞
147. [00:05:04,320 -> 00:05:06,700] GPU 也就是圖形處理器
148. [00:05:07,120 -> 00:05:09,720] 它把繁重的 3D 數學運算包辦
149. [00:05:10,480 -> 00:05:11,900] 徹底解放了 CPU
150. [00:05:12,320 -> 00:05:14,280] 最終的結局更是戲劇化
151. [00:05:14,560 -> 00:05:17,180] 不可一世的 3Dfx 宣告破產
152. [00:05:17,480 -> 00:05:20,060] 被輝達用極低的價格全盤收購
153. [00:05:20,440 -> 00:05:22,320] 昔日差點死掉的挑戰者
154. [00:05:22,460 -> 00:05:24,140] 就這樣正式登基為王
155. [00:05:24,660 -> 00:05:25,240] 第四幕
156. [00:05:25,460 -> 00:05:26,400] CUDA 黑洞
157. [00:05:26,860 -> 00:05:30,080] 華爾街痛恨的十億美元豪賭
158. [00:05:30,460 -> 00:05:32,140] 時間來到 2006 年
159. [00:05:32,300 -> 00:05:33,900] 剛坐穩王座的 NVIDIA
160. [00:05:34,180 -> 00:05:36,340] 卻做出了堪稱史上最瘋狂
161. [00:05:36,520 -> 00:05:37,900] 最招人罵的決定
162. [00:05:38,300 -> 00:05:41,360] 他們要把一個叫 CUDA 的架構
163. [00:05:41,720 -> 00:05:44,180] 塞進每一張遊戲顯示卡裡
164. [00:05:44,700 -> 00:05:46,880] 我們來看看這場災難級決策
165. [00:05:47,960 -> 00:05:50,700] 硬要在遊戲卡加入科學運算
166. [00:05:51,420 -> 00:05:54,200] 結果導致晶片變大變熱還變貴
167. [00:05:54,820 -> 00:05:57,480] 然後公司每年還要倒貼幾億美元
168. [00:05:57,640 -> 00:05:59,280] 去大學裡發免費的軟體
169. [00:05:59,860 -> 00:06:01,080] 華爾街當然氣炸了
170. [00:06:01,380 -> 00:06:04,500] 因為 99% 的人只想順暢打遊戲
171. [00:06:04,880 -> 00:06:07,520] 誰在乎幫科學家算什麼流體力學
172. [00:06:07,860 -> 00:06:10,380] 這根本就是玩家完全不想要
173. [00:06:10,500 -> 00:06:12,180] 卻被強迫買單的功能
174. [00:06:12,680 -> 00:06:14,120] 當時華爾街的分析師
175. [00:06:14,260 -> 00:06:16,700] 真的是把黃仁勳罵成了瘋子
176. [00:06:17,020 -> 00:06:19,280] 瘋狂要求他立刻放棄 CUDA
177. [00:06:19,700 -> 00:06:21,400] 加上又碰上了金融危機
178. [00:06:21,600 -> 00:06:23,680] NVIDIA 的股價直接自由落體
179. [00:06:23,820 -> 00:06:25,300] 暴跌也超過了 80%
180. [00:06:25,940 -> 00:06:28,920] 但他頂住了被董事會趕下台壓力
181. [00:06:29,220 -> 00:06:32,060] 就這樣在無人看好的黑暗隧道裡
182. [00:06:32,360 -> 00:06:33,980] 每年燒著幾億美金
183. [00:06:34,220 -> 00:06:35,800] 孤獨地硬撐了六年
184. [00:06:36,320 -> 00:06:37,900] 接下來 第五幕
185. [00:06:38,360 -> 00:06:39,500] 奇異點降臨
186. [00:06:39,960 -> 00:06:42,620] 遊戲顯卡點燃 AI 革命
187. [00:06:43,220 -> 00:06:44,280] 2012 年
188. [00:06:44,640 -> 00:06:48,420] 長達六年被人笑話的偏執豪賭
189. [00:06:48,800 -> 00:06:50,980] 終於在多倫多的一間實驗室裡
190. [00:06:51,300 -> 00:06:54,000] 用一種超級諷刺的方式迎來轉機
191. [00:06:55,100 -> 00:06:57,560] 這真是一個完美的歷史大反差
192. [00:06:57,620 -> 00:06:59,100] 有兩位 AI 研究員
193. [00:06:59,260 -> 00:07:01,460] 因為買不起造價幾百萬美金
194. [00:07:01,560 -> 00:07:03,880] 跑一次要好幾個月的超級電腦
195. [00:07:04,000 -> 00:07:04,600] 怎麼辦
196. [00:07:04,780 -> 00:07:06,140] 他們跑去一般的商店
197. [00:07:06,240 -> 00:07:08,720] 買了兩張打遊戲的顯示卡
198. [00:07:08,720 -> 00:07:09,900] 只要 500 美金的
199. [00:07:09,900 -> 00:07:11,800] GTX 580 顯示卡
200. [00:07:12,140 -> 00:07:14,660] 他們利用 CUDA 架構來寫程式
201. [00:07:14,900 -> 00:07:16,360] 結果在名為 AlexNet
202. [00:07:16,360 -> 00:07:17,860] 的圖像辨識大賽中
203. [00:07:17,980 -> 00:07:18,920] 不僅拿了冠軍
204. [00:07:19,060 -> 00:07:21,980] 還把人類歷史紀錄遠遠甩在後頭
205. [00:07:22,240 -> 00:07:23,900] 整個科技界都嚇傻了
206. [00:07:24,280 -> 00:07:25,280] 深度學習的革命
207. [00:07:25,460 -> 00:07:28,980] 就這樣被兩張便宜遊戲卡引爆了
208. [00:07:29,380 -> 00:07:31,800] 這時候 黃仁勳反應極快
209. [00:07:32,120 -> 00:07:35,160] 立刻把整個公司全面導向 AI
210. [00:07:35,700 -> 00:07:36,940] 到了 2016 年
211. [00:07:37,040 -> 00:07:39,940] 出現了一個載入史冊的時刻
212. [00:07:40,260 -> 00:07:42,260] 他親自把世界第一台
213. [00:07:42,260 -> 00:07:44,840] AI 超級電腦 DGX-1
214. [00:07:45,240 -> 00:07:46,660] 親自送給舊金山
215. [00:07:46,800 -> 00:07:48,500] 一家當時只有十幾個人
216. [00:07:48,800 -> 00:07:51,080] 完全默默無聞的非營利組織
217. [00:07:51,520 -> 00:07:53,340] 那家組織的名字 沒錯
218. [00:07:53,640 -> 00:07:55,020] 就叫做 OpenAI
219. [00:07:55,540 -> 00:07:56,560] 就是後來做出
220. [00:07:56,560 -> 00:07:58,280] ChatGPT 的那個組織
221. [00:07:59,140 -> 00:08:03,000] 黃仁勳再一次神準押中未來霸主
222. [00:08:03,480 -> 00:08:05,520] 了解到這裡 這也就解釋了
223. [00:08:05,660 -> 00:08:07,560] 為什麼今天其他科技巨頭
224. [00:08:07,560 -> 00:08:09,740] 完全逃不出 NVIDIA 的統治
225. [00:08:09,740 -> 00:08:11,660] 高達百分之九十的市占
226. [00:08:12,680 -> 00:08:14,260] 因為他們早就建立了一座
227. [00:08:14,260 -> 00:08:16,660] 有三層防禦的無敵護城河
228. [00:08:17,220 -> 00:08:19,880] 第一是極致狂暴的硬體效能
229. [00:08:19,880 -> 00:08:22,560] 第二是讓全球五百萬開發者
230. [00:08:22,560 -> 00:08:24,940] 深陷其中完全被綁定的
231. [00:08:25,240 -> 00:08:26,240] CUDA 軟體生態
232. [00:08:26,240 -> 00:08:27,660] 第三 他們透過
233. [00:08:27,660 -> 00:08:28,520] 收購 Mellanox
234. [00:08:28,520 -> 00:08:30,820] 掌握了把幾萬張顯卡
235. [00:08:30,820 -> 00:08:33,100] 串聯成一個超大型大腦
236. [00:08:33,100 -> 00:08:34,500] 的網絡技術
237. [00:08:34,500 -> 00:08:35,920] 這是一個連微軟 Google
238. [00:08:37,140 -> 00:08:39,240] 都難以攻破的封閉生態
239. [00:08:39,240 -> 00:08:40,740] 故事說到最後
240. [00:08:40,740 -> 00:08:44,780] 我們要回到皮衣男人黃仁勳身上
241. [00:08:44,780 -> 00:08:46,180] 即便今天的 NVIDIA
242. [00:08:46,180 -> 00:08:48,840] 已是世界上最有價值的科技帝國
243. [00:08:48,840 -> 00:08:51,160] 黃仁勳在每次的大會上
244. [00:08:51,160 -> 00:08:53,800] 依然會帶著那種恐慌的偏執
245. [00:08:53,800 -> 00:08:54,620] 告訴他的員工
246. [00:08:55,040 -> 00:08:58,060] 記住 我們距離破產永遠只有30天
247. [00:08:58,620 -> 00:09:00,200] 這真的會讓人會心一笑
248. [00:09:00,200 -> 00:09:02,280] 這位主宰 AI 未來的帝王
249. [00:09:02,780 -> 00:09:04,400] 骨子裡竟然還是當年那個
250. [00:09:04,400 -> 00:09:05,520] 在 Denny's 洗盤子
251. [00:09:05,940 -> 00:09:08,160] 隨時隨地保持高度警戒的打工仔
252. [00:09:08,740 -> 00:09:10,800] 這份來源資料深刻地告訴我們
253. [00:09:10,800 -> 00:09:12,720] 偉大從來不是來自一帆風順
254. [00:09:12,980 -> 00:09:15,860] 而是來自走投無路時的痛苦淬鍊
255. [00:09:16,620 -> 00:09:18,380] 所以 聽完這個超燃的故事
256. [00:09:18,380 -> 00:09:21,260] 你準備好面對人生破產30天了嗎
257. [00:09:21,720 -> 00:09:23,600] 感謝你參與今天的深度解析
258. [00:09:23,600 -> 00:09:26,020] 希望你聽得過癮 我們下次見囉
