【專題影片字幕校對稿：史上最偉大的惡作劇：Gmail 誕生記】
說明：依據標準字幕規範（每行 8～12 字黃金長度、自然呼吸斷句、專有名詞 100% 準確校正）產出。

001. [00:00:00,000 -> 00:00:02,360] 歡迎來到今天的專題解說
036. [00:01:26,460 -> 00:01:29,180] 或者小心翼翼地存進硬碟
037. [00:01:29,620 -> 00:01:32,260] 就怕哪天信箱突然大爆炸
038. [00:01:32,640 -> 00:01:33,760] 真的超痛苦！
039. [00:01:34,220 -> 00:01:37,700] 當時兩大市值千億的科技巨頭給你的恩賜：
040. [00:01:38,120 -> 00:01:40,020] 微軟 Hotmail 只有 2MB
041. [00:01:40,600 -> 00:01:43,000] 雅虎信箱也只有可憐的 4MB。
042. [00:01:43,000 -> 00:01:45,860] 這數字現在聽起來有多荒謬？
043. [00:01:46,080 -> 00:01:49,740] 隨便一張現代未壓縮的數位相片寄過來
044. [00:01:50,040 -> 00:01:52,680] 你的信箱瞬間就壽終正寢了！
045. [00:01:52,960 -> 00:01:54,600] 那巨頭們為什麼這麼摳門？
046. [00:01:54,940 -> 00:01:55,560] 說穿了
047. [00:01:55,800 -> 00:01:58,020] 他們就是要逼迫快發瘋的你
048. [00:01:58,260 -> 00:02:00,320] 每年掏出將近 60 美金
049. [00:02:00,720 -> 00:02:03,280] 只為了買區區 10MB 的升級空間
050. [00:02:03,740 -> 00:02:05,280] 簡直是趁火打劫啊！
051. [00:02:05,280 -> 00:02:05,630] 【第二部分：第 23 號員工的狂想】
052. [00:02:05,630 -> 00:02:07,380] 接著來看看第二部分：
053. [00:02:07,640 -> 00:02:09,880] 第 23 號員工的狂想。
054. [00:02:10,480 -> 00:02:12,980] 就在這個死水一潭的市場裡
055. [00:02:13,300 -> 00:02:16,140] Google 的第 23 號員工保羅·布赫海特
056. [00:02:16,340 -> 00:02:18,360] 竟然在自己的自由時間裡
057. [00:02:18,640 -> 00:02:20,900] 搞出了一個代號「獰貓」的秘密專案。
058. [00:02:21,300 -> 00:02:24,320] 他定下了三條跌破大家眼鏡的鐵律：
059. [00:02:24,720 -> 00:02:26,120] 第一：永不刪信
060. [00:02:26,380 -> 00:02:28,760] 直接給你 1GB 的超級大空間！
061. [00:02:28,760 -> 00:02:32,300] 第二：用搜尋取代繁瑣的資料夾；
062. [00:02:32,560 -> 00:02:36,260] 第三：把信件像聊天紀錄一樣摺疊起來！
063. [00:02:36,500 -> 00:02:37,160] 大家知道嗎？
064. [00:02:37,480 -> 00:02:39,320] 當時 Google 內部的產品經理
065. [00:02:39,320 -> 00:02:40,520] 看到第一點都嚇瘋了：
066. [00:02:40,520 -> 00:02:44,040] 1GB 可是對手的整整五百倍啊！
067. [00:02:44,300 -> 00:02:46,340] 要是發給全世界一人 1GB
068. [00:02:46,680 -> 00:02:47,580] 光買硬碟的錢
069. [00:02:47,760 -> 00:02:49,980] 絕對會讓公司瞬間破產倒閉！
070. [00:02:50,480 -> 00:02:51,740] 面對內部的恐慌
071. [00:02:52,000 -> 00:02:54,300] Google 兩位創辦人卻力挺保羅。
072. [00:02:54,620 -> 00:02:56,820] 最關鍵的就是拉里·佩奇的這句話：
073. [00:02:56,820 -> 00:02:59,780] 「硬體成本會遵循摩爾定律驟降
074. [00:03:00,040 -> 00:03:02,120] 但使用者的數據是無價資產！」
075. [00:03:02,720 -> 00:03:04,540] 這就是神奇的遠見啊！
076. [00:03:04,860 -> 00:03:07,760] 他用這種瘋狂但極具前瞻性的邏輯
077. [00:03:08,020 -> 00:03:10,500] 為這個 1GB 狂想撐起了保護傘。
078. [00:03:10,840 -> 00:03:13,280] 他們認定今天貴得要命的硬碟
079. [00:03:13,620 -> 00:03:15,920] 過幾年絕對會變得像高麗菜一樣便宜！
080. [00:03:15,920 -> 00:03:16,120] 【第三部分：最完美的愚人節玩笑】
081. [00:03:16,800 -> 00:03:18,580] 好了，重頭戲來了！
082. [00:03:19,040 -> 00:03:22,100] 第三部分：最完美的愚人節玩笑。
083. [00:03:22,700 -> 00:03:24,600] 經過兩年秘密研發
084. [00:03:24,940 -> 00:03:26,960] 產品總算要見客了。
085. [00:03:27,240 -> 00:03:28,660] 結果，你猜怎麼著？
086. [00:03:28,980 -> 00:03:32,560] 公關團隊陷入了徹底的恐慌！為什麼？
087. [00:03:33,180 -> 00:03:34,980] 因為 Google 有個老傳統：
088. [00:03:35,360 -> 00:03:37,400] 每年 4 月 1 日都在惡搞！
089. [00:03:37,920 -> 00:03:41,340] 你看，2000 年他們說發明了讀心術搜尋
090. [00:03:41,680 -> 00:03:46,620] 2002 年又宣稱機房裡有幾十萬隻鴿子在幫網頁排序。
091. [00:03:46,620 -> 00:03:50,960] 現在，時間來到 2004 年 4 月 1 日
092. [00:03:51,300 -> 00:03:53,220] 你要發新聞稿告訴全世界：
093. [00:03:53,620 -> 00:03:55,380] 「嘿，我們做了一個快十倍
094. [00:03:55,700 -> 00:03:58,800] 還免費送你 1000MB 的信箱喔！」
095. [00:03:59,080 -> 00:04:01,600] 想當然，根本沒有半個人相信
096. [00:04:01,960 -> 00:04:05,060] 大家都覺得：拜託，這次玩笑太大了吧！
097. [00:04:05,640 -> 00:04:08,680] 關於這個，還有個超級爆笑的插曲：
098. [00:04:09,060 -> 00:04:11,780] 發生在當時還很年輕的工程師
099. [00:04:12,160 -> 00:04:14,220] 也就是後來的 Google 執行長
100. [00:04:14,220 -> 00:04:16,000] 桑達爾·皮查伊身上！
101. [00:04:16,360 -> 00:04:18,780] 發表當天他剛好來 Google 面試
102. [00:04:19,180 -> 00:04:21,220] 面試官問他對 Gmail 的看法
103. [00:04:21,540 -> 00:04:23,180] 他老老實實地回答：
104. [00:04:23,660 -> 00:04:27,780] 「喔，我以為這只是個非常有趣的愚人節惡作劇……」
105. [00:04:28,060 -> 00:04:29,940] 直到面試官實在受不了
106. [00:04:30,180 -> 00:04:33,440] 直接打開筆電給他看正在運作的真實介面
107. [00:04:33,780 -> 00:04:36,820] 他當場嚇得目瞪口呆、冷汗直流！
108. [00:04:37,700 -> 00:04:38,050] 【第四部分：終結重新整理的魔法】
109. [00:04:38,050 -> 00:04:39,260] 接下來是第四部分：
110. [00:04:39,640 -> 00:04:41,600] 終結重新整理的魔法！
111. [00:04:42,060 -> 00:04:43,960] 當媒體還在看熱鬧的時候
112. [00:04:44,300 -> 00:04:46,800] 微軟高層確認這不是惡搞後
113. [00:04:46,980 -> 00:04:49,600] 他們經歷了純粹的科技恐懼！
114. [00:04:49,980 -> 00:04:52,200] 因為 Gmail 藏著一項秘密武器：
115. [00:04:52,660 -> 00:04:53,600] Ajax 技術！
116. [00:04:53,960 -> 00:04:55,980] 在當時，這簡直就是黑魔法！
117. [00:04:56,500 -> 00:04:58,720] 它徹底消除了 Web 1.0 時代
118. [00:04:58,720 -> 00:05:00,820] 最讓人崩潰的白屏詛咒。
119. [00:05:01,440 -> 00:05:02,680] 以前用網頁信箱
120. [00:05:02,860 -> 00:05:06,800] 就像在翻一本又厚、又重、還受潮發霉的舊字典
121. [00:05:07,220 -> 00:05:08,660] 翻一頁都要使盡全力；
122. [00:05:08,860 -> 00:05:10,100] 而 Ajax 呢？
123. [00:05:10,340 -> 00:05:13,320] 它就像是為瀏覽器裝上了隱形的翅膀
124. [00:05:13,560 -> 00:05:16,000] 讓資料能在背景偷偷更新。
125. [00:05:16,460 -> 00:05:19,760] 我們來回顧一下以前到底有多痛苦：
126. [00:05:20,200 -> 00:05:20,840] 點擊信件——
127. [00:05:21,260 -> 00:05:23,760] 好，畫面瞬間變成全白
128. [00:05:24,240 -> 00:05:26,840] 然後，開始重新載入整個網頁
129. [00:05:26,840 -> 00:05:28,740] 跟那些煩人的橫幅廣告
130. [00:05:29,260 -> 00:05:32,080] 接著就是漫長的沙漏旋轉……
131. [00:05:32,660 -> 00:05:35,400] 等啊等，好不容易打開一封信了
132. [00:05:35,840 -> 00:05:38,620] 想看下一封？抱歉，再來一次！
133. [00:05:38,620 -> 00:05:42,240] 點擊、白屏載入、等待沙漏……
134. [00:05:42,680 -> 00:05:46,120] 這就是當時讓人血壓狂飆的痛苦輪迴！
135. [00:05:46,500 -> 00:05:47,560] 你每一次操作
136. [00:05:47,800 -> 00:05:50,300] 都必須把整個網頁重新下載一遍
137. [00:05:50,620 -> 00:05:51,640] 有夠折磨人的！
138. [00:05:52,440 -> 00:05:55,920] 但是，Gmail 徹底顛覆了這一切！
139. [00:05:56,400 -> 00:05:58,000] 有了 Ajax 技術
140. [00:05:58,360 -> 00:06:00,020] 現在當你點擊郵件
141. [00:06:00,460 -> 00:06:03,200] 瀏覽器只會在背景默默地抓取
142. [00:06:03,200 -> 00:06:05,560] 幾百個位元組的純文字資料。
143. [00:06:05,560 -> 00:06:07,900] 沒有白屏、沒有閃爍
144. [00:06:08,240 -> 00:06:12,060] 不到 0.1 秒，畫面就局部瞬間更新了！
145. [00:06:12,400 -> 00:06:15,500] 一切真的就像變魔術一樣絲滑順暢。
146. [00:06:15,840 -> 00:06:18,000] 你不需要安裝任何龐大的軟體
147. [00:06:18,320 -> 00:06:19,700] 只要打開瀏覽器
148. [00:06:20,040 -> 00:06:24,060] 它跑起來就像你電腦裡的桌面應用程式一樣快！
149. [00:06:24,520 -> 00:06:26,940] 這在當年完全是外星科技啊！
150. [00:06:26,940 -> 00:06:27,160] 【第五部分：天價邀請碼與隱私風暴】
151. [00:06:27,680 -> 00:06:29,080] 繼續來到第五部分：
152. [00:06:29,420 -> 00:06:31,720] 天價邀請碼與隱私風暴。
153. [00:06:32,320 -> 00:06:34,740] 雖然擁有這麼神奇的技術
154. [00:06:34,960 -> 00:06:38,860] 發表當天，Google 卻面臨一個極度尷尬的狀況：
155. [00:06:39,180 -> 00:06:40,540] 他們東拼西湊
156. [00:06:40,720 -> 00:06:43,480] 勉強只擠出 300 台老舊淘汰的
157. [00:06:43,480 -> 00:06:45,760] Pentium 3 伺服器來跑 Gmail！
158. [00:06:46,420 -> 00:06:48,340] 因為伺服器實在太少了
159. [00:06:48,660 -> 00:06:51,100] 只好採用極其嚴格的邀請制。
160. [00:06:51,560 -> 00:06:55,540] 結果，意外促成了史上最瘋狂的飢渴行銷！
161. [00:06:55,540 -> 00:06:57,780] 150 美金！你沒聽錯！
162. [00:06:57,780 -> 00:06:58,540] 在 eBay 上
163. [00:06:58,720 -> 00:07:03,920] 一枚小小的邀請碼被狂熱的網友炒到 150 甚至 250 美元！
164. [00:07:04,360 -> 00:07:07,580] 甚至還有人願意用杜拜的高級度假行程
165. [00:07:08,100 -> 00:07:09,080] 來換一個名額！
166. [00:07:09,540 -> 00:07:11,840] Google 真的一毛錢廣告費都沒花
167. [00:07:12,120 -> 00:07:16,500] 就把 Gmail 變成了全球最夯的數位身分地位象徵！
168. [00:07:17,100 -> 00:07:20,660] 不過，伴隨狂熱而來的還有不小的爭議。
169. [00:07:20,660 -> 00:07:22,840] 為了支撐龐大的硬體成本
170. [00:07:23,240 -> 00:07:27,480] Google 捨棄了傳統信箱那種閃爍、刺眼的彈跳廣告
171. [00:07:27,760 -> 00:07:31,000] 改成了由演算法自動比對的純文字廣告。
172. [00:07:31,460 -> 00:07:32,240] 這就意味著：
173. [00:07:32,420 -> 00:07:34,920] 機器人必須掃描你的郵件內容！
174. [00:07:35,340 -> 00:07:37,960] 哇，這在當時引發了巨大的隱私權風暴
175. [00:07:38,260 -> 00:07:41,020] 甚至有參議員想提案封殺 Gmail！
176. [00:07:41,420 -> 00:07:43,040] 但最終，Google 堅持了
177. [00:07:43,340 -> 00:07:46,180] 「機器比對不等於人類偷看」的理念
178. [00:07:46,180 -> 00:07:48,260] 而那無與倫比的流暢體驗
179. [00:07:48,600 -> 00:07:51,440] 終究還是讓大眾心甘情願地買單了
180. [00:07:51,720 -> 00:07:54,140] 畢竟實在是太好用了嘛！
181. [00:07:54,140 -> 00:07:54,320] 【第六部分：雲端時代的破曉】
182. [00:07:55,100 -> 00:07:58,980] 最後，第六部分：雲端時代的破曉。
183. [00:07:59,600 -> 00:08:02,280] 隨著使用者大量叛逃到 Gmail
184. [00:08:02,780 -> 00:08:04,600] 微軟和雅虎被迫低頭
185. [00:08:04,920 -> 00:08:07,400] 趕緊調升那少得可憐的容量。
186. [00:08:07,820 -> 00:08:10,920] 但 Gmail 的歷史意義其實遠不止於此：
187. [00:08:11,280 -> 00:08:13,900] 它等於向全世界證明了一件事——
188. [00:08:13,900 -> 00:08:18,540] 瀏覽器本身就可以是一個功能完備的作業系統！
189. [00:08:18,800 -> 00:08:21,460] 這推倒了 Web 2.0 的第一張骨牌
190. [00:08:21,800 -> 00:08:23,680] 引發了瘋狂的連鎖反應：
191. [00:08:23,980 -> 00:08:25,960] 2005 年 Google 地圖問世
192. [00:08:26,240 -> 00:08:29,820] 2006 年 Google 文件直接挑戰了傳統軟體
193. [00:08:30,060 -> 00:08:32,780] 到 2008 年更誕生了 Chrome 瀏覽器！
194. [00:08:33,140 -> 00:08:35,880] 我們現在習以為常的這些雲端生態
195. [00:08:36,100 -> 00:08:38,140] 全都是從這裡開始的。
196. [00:08:38,640 -> 00:08:39,400] 想像一下
197. [00:08:39,620 -> 00:08:42,860] 我們現在可以在瀏覽器裡開著幾十個分頁
198. [00:08:42,860 -> 00:08:45,760] 流暢地編輯雲端文件、聽音樂
199. [00:08:45,980 -> 00:08:49,080] 一切都不需要不斷重新整理。
200. [00:08:49,480 -> 00:08:52,180] 我們現在呼吸的每一口數位空氣
201. [00:08:52,480 -> 00:08:54,300] 其實都源自 2004 年
202. [00:08:54,500 -> 00:08:57,040] 那個看似愚人節玩笑的瘋狂計畫！
203. [00:08:57,480 -> 00:08:59,760] 所以，我想留給大家一個問題思考：
204. [00:09:00,040 -> 00:09:01,700] 還有什麼樣不可能的技術
205. [00:09:01,940 -> 00:09:04,020] 在今天看起來像是一場惡作劇
206. [00:09:04,360 -> 00:09:07,880] 但明天卻會成為構築我們生活的基石呢？
207. [00:09:08,360 -> 00:09:10,380] 感謝大家收看今天的專題解說
208. [00:09:10,640 -> 00:09:11,840] 希望你們喜歡這個故事
209. [00:09:11,980 -> 00:09:12,520] 我們下次見！
