【專題影片字幕校對稿：1984 麥金塔大劫案】
說明：依據標準字幕規範（每行 8～12 字黃金長度、自然呼吸斷句、專有名詞 100% 準確校正）產出。

001. [00:00:00,000 -> 00:00:01,900] 歡迎來到今天的解析
071. [00:03:06,720 -> 00:03:07,600] 狂抓頭髮
072. [00:03:07,860 -> 00:03:10,820] 甚至對著在場的科學家大吼大叫：
073. [00:03:11,320 -> 00:03:12,740] 「你們為什麼不用這東西？！
074. [00:03:13,240 -> 00:03:14,540] 為什麼你們這群笨蛋
075. [00:03:14,540 -> 00:03:16,800] 坐在金礦上卻什麼都不做？！」
076. [00:03:17,300 -> 00:03:19,500] 沒錯，短短幾分鐘內
077. [00:03:19,500 -> 00:03:22,020] 賈伯斯就徹底看見了未來！
078. [00:03:22,020 -> 00:03:25,420] 【第二部分：打造海盜軍團】
079. [00:03:25,940 -> 00:03:28,680] 老實說，發現寶藏是一回事
080. [00:03:29,200 -> 00:03:30,980] 要把這項超級昂貴
081. [00:03:30,980 -> 00:03:33,320] 又很脆弱的實驗室玩具
082. [00:03:33,740 -> 00:03:36,120] 變成每個人都買得起的消費產品
083. [00:03:36,460 -> 00:03:38,200] 這根本是不可能的任務！
084. [00:03:38,720 -> 00:03:42,320] 我們來看看全錄 Alto 的那個滑鼠：
085. [00:03:42,820 -> 00:03:44,640] 造價高達 300 美元
086. [00:03:45,160 -> 00:03:48,160] 有三個超容易按錯的按鍵不說
087. [00:03:48,160 -> 00:03:50,000] 裡面複雜的滾輪
088. [00:03:50,380 -> 00:03:53,640] 只要滾個幾個小時就會被灰塵卡死！
089. [00:03:54,180 -> 00:03:55,040] 賈伯斯一看
090. [00:03:55,320 -> 00:03:57,620] 馬上對設計團隊下了死命令：
091. [00:03:58,060 -> 00:04:00,260] 「給我做一個成本低於 15 美元、
092. [00:04:00,740 -> 00:04:01,800] 只有一個按鍵、
093. [00:04:02,100 -> 00:04:05,580] 而且還能在牛仔褲上順暢滑動的滑鼠！」
094. [00:04:06,120 -> 00:04:06,780] 結果呢？
095. [00:04:07,220 -> 00:04:08,440] 設計師被逼急了
096. [00:04:08,700 -> 00:04:10,940] 直接衝進連鎖藥妝店 Walgreens
097. [00:04:10,940 -> 00:04:12,360] 買了體香滾珠
098. [00:04:12,360 -> 00:04:15,240] 把裡面的塑膠大滾珠拆下來
099. [00:04:15,520 -> 00:04:18,520] 接著又跑去超市買了個奶油碟當外殼
100. [00:04:18,780 -> 00:04:19,920] 把他們黏在一起！
101. [00:04:20,380 -> 00:04:22,200] 沒錯，就是這麼扯！
102. [00:04:22,640 -> 00:04:24,860] 我們現在每天滑的電腦滑鼠
103. [00:04:25,200 -> 00:04:27,160] 最初根本就是用除臭劑
104. [00:04:27,160 -> 00:04:29,560] 和裝奶油的碟子拼裝出來的！
105. [00:04:30,020 -> 00:04:32,320] 這荒謬到實在太好笑了！
106. [00:04:33,040 -> 00:04:35,440] 硬體靠著土砲精神解決了
107. [00:04:35,880 -> 00:04:37,100] 那軟體呢？
108. [00:04:37,100 -> 00:04:40,300] 這根本是一場超級美麗的誤會！
109. [00:04:40,700 -> 00:04:41,500] 幾年之後
110. [00:04:41,780 -> 00:04:44,100] 全錄的工程師超驚恐地
111. [00:04:44,100 -> 00:04:47,700] 跑去問蘋果的天才工程師比爾·阿特金森：
112. [00:04:48,140 -> 00:04:50,960] 「天啊，你是怎麼在那麼小的電腦上
113. [00:04:50,960 -> 00:04:52,820] 跑出重疊視窗的？
114. [00:04:53,200 -> 00:04:54,800] 我們當年根本沒做出來
115. [00:04:55,120 -> 00:04:57,560] 你那時候看到的只是靜態圖啊！」
116. [00:04:57,920 -> 00:05:01,180] 沒錯，阿特金森憑藉著一己之力
117. [00:05:01,520 -> 00:05:03,520] 硬是發明了下拉式選單
118. [00:05:03,520 -> 00:05:05,940] 和超流暢的重疊視窗
119. [00:05:05,940 -> 00:05:07,440] 原因超級單純：
120. [00:05:07,760 -> 00:05:10,980] 因為他誤以為全錄早就做到了！
121. [00:05:11,400 -> 00:05:14,640] 這種因為誤解而逼出來的工程奇蹟
122. [00:05:14,880 -> 00:05:17,020] 是不是有夠不可思議？
123. [00:05:17,960 -> 00:05:20,480] 不過這場革命在蘋果內部
124. [00:05:20,480 -> 00:05:22,700] 可是引發了一場大內戰！
125. [00:05:23,420 -> 00:05:26,480] 賈伯斯當時因為作風實在太專橫跋扈
126. [00:05:26,760 -> 00:05:28,200] 竟然被蘋果高層
127. [00:05:28,200 -> 00:05:30,820] 從他原本主導的高階專案
128. [00:05:31,080 -> 00:05:32,660] Lisa 團隊中踢了出去！
129. [00:05:32,660 -> 00:05:35,380] 這對他來說真的是奇恥大辱
130. [00:05:35,460 -> 00:05:36,720] 於是他氣炸了
131. [00:05:36,880 -> 00:05:38,140] 真的就像海盜一樣
132. [00:05:38,500 -> 00:05:42,600] 強行劫持了公司邊緣一個叫做 Macintosh 的小專案
133. [00:05:42,960 -> 00:05:46,040] 直接把整個團隊搬到一棟獨立的建築物裡
134. [00:05:46,380 -> 00:05:48,320] 他帶著那種超叛逆的表情
135. [00:05:48,440 -> 00:05:49,880] 對這群年輕工程師說：
136. [00:05:50,380 -> 00:05:53,020] 「與其加入海軍，不如做個海盜！」
137. [00:05:53,420 -> 00:05:55,840] 他們甚至超狂地在屋頂上
138. [00:05:55,840 -> 00:05:58,660] 升起了一面畫著彩虹蘋果眼罩的
139. [00:05:58,660 -> 00:05:59,700] 骷髏海盜旗！
140. [00:05:59,700 -> 00:06:02,320] 一場科技界的內部叛亂
141. [00:06:02,320 -> 00:06:04,980] 就這樣轟轟烈烈地展開了！
142. [00:06:05,400 -> 00:06:09,520] 這支海盜軍團裡可以說是怪咖天才雲集：
143. [00:06:10,080 -> 00:06:12,860] 伯勒爾·史密斯用極限的電路技巧
144. [00:06:13,120 -> 00:06:14,720] 硬是把昂貴的處理器
145. [00:06:14,720 -> 00:06:17,100] 塞進超便宜的小主機板裡；
146. [00:06:17,520 -> 00:06:20,340] 安迪·赫茲菲爾德這位軟體魔法師更扯
147. [00:06:20,720 -> 00:06:24,120] 他居然把整個超複雜的圖形系統和選單
148. [00:06:24,460 -> 00:06:28,000] 硬生生塞進只有 64KB 的唯讀記憶體中；
149. [00:06:28,000 -> 00:06:29,620] 還有蘇珊·凱爾
150. [00:06:29,620 -> 00:06:31,740] 她拿著一本方格筆記本
151. [00:06:31,880 -> 00:06:33,700] 一格一格徒手畫出了
152. [00:06:33,700 -> 00:06:36,100] 我們到現在都還在用的廢紙簍、
153. [00:06:36,420 -> 00:06:39,220] 炸彈，還有那個經典的微笑電腦圖示！
154. [00:06:39,560 -> 00:06:42,540] 這群人真的就是在賈伯斯的極限施壓下
155. [00:06:42,780 -> 00:06:45,480] 瘋狂創造出一個又一個的工程奇蹟！
156. [00:06:46,260 -> 00:06:49,260] 賈伯斯那種對完美的病態偏執
157. [00:06:49,680 -> 00:06:52,280] 在這台機器上真的是展露無遺
158. [00:06:52,660 -> 00:06:54,400] 他不只要求外觀好看
159. [00:06:54,780 -> 00:06:56,960] 他甚至要求連機器內部、
160. [00:06:56,960 -> 00:07:00,100] 那些根本沒有人會去拆開來看的電路板
161. [00:07:00,240 -> 00:07:03,040] 也要像藝術品一樣對稱優雅！
162. [00:07:03,500 -> 00:07:05,220] 而在 Mac 準備量產前
163. [00:07:05,580 -> 00:07:08,140] 他做了一件超級浪漫又瘋狂的事：
164. [00:07:08,520 -> 00:07:12,540] 他讓 47 位核心團隊成員在一張紙上簽名
165. [00:07:12,900 -> 00:07:14,340] 然後把這些簽名
166. [00:07:14,460 -> 00:07:18,640] 永久鐫刻在每一台 Macintosh 的塑膠外殼內壁上！
167. [00:07:19,000 -> 00:07:20,080] 因為在他的心裡
168. [00:07:20,420 -> 00:07:23,340] 這群海盜從來就不是什麼普通的工程師
169. [00:07:23,640 -> 00:07:26,200] 他們是真正的文藝復興藝術家
170. [00:07:26,200 -> 00:07:27,800] 而偉大的藝術家
171. [00:07:27,800 -> 00:07:30,760] 總會在自己的傑作上留下簽名！
172. [00:07:31,220 -> 00:07:33,540] 【第三部分：迎戰老大哥】
173. [00:07:34,100 -> 00:07:37,000] 就在這群海盜沒日沒夜瘋狂趕工的時候
174. [00:07:37,360 -> 00:07:39,740] 這故事的終極反派登場囉！
175. [00:07:40,400 -> 00:07:43,340] 當時被稱為「藍色巨人」的 IBM
176. [00:07:43,700 -> 00:07:46,260] 正以超狂的速度吞噬整個市場
177. [00:07:46,600 -> 00:07:48,300] 辦公桌上全都是那種
178. [00:07:48,300 -> 00:07:51,240] 閃爍著冷酷綠字的指令列電腦
179. [00:07:51,560 -> 00:07:52,500] 對賈伯斯來說
180. [00:07:52,920 -> 00:07:54,460] 如果讓 IBM 贏了
181. [00:07:54,460 -> 00:07:58,620] 電腦就會變成大企業用來控制員工的冰冷機器！
182. [00:07:58,840 -> 00:08:00,400] 為了對抗這個老大哥
183. [00:08:00,780 -> 00:08:04,960] 蘋果找來了拍過《銀翼殺手》的知名導演雷利·史考特
184. [00:08:05,400 -> 00:08:06,640] 砸了 90 萬美元
185. [00:08:07,040 -> 00:08:09,540] 找了一群真正的光頭黨演員
186. [00:08:09,840 -> 00:08:12,460] 拍出了一支超有反叛精神的廣告：
187. [00:08:12,920 -> 00:08:15,140] 一個金髮女運動員，拿著大鐵錘
188. [00:08:15,400 -> 00:08:17,960] 狠狠砸向代表老大哥的巨型螢幕！
189. [00:08:18,380 -> 00:08:19,940] 結果，當蘋果董事會
190. [00:08:19,940 -> 00:08:23,100] 看到這支連一秒鐘電腦畫面都沒有的廣告時
191. [00:08:23,100 -> 00:08:25,120] 全都嚇到臉色發白
192. [00:08:25,380 -> 00:08:27,140] 當場下令絕對不准播！
193. [00:08:27,600 -> 00:08:30,200] 但這時候，史蒂夫·沃茲尼克跳出來
194. [00:08:30,500 -> 00:08:33,380] 說他寧願自掏腰包也要付這個廣告費
195. [00:08:33,780 -> 00:08:36,880] 加上廣告公司也偷偷暗槓了一分鐘的
196. [00:08:36,880 -> 00:08:38,840] 超級盃黃金時段沒有退掉
197. [00:08:39,260 -> 00:08:41,220] 最終，這支廣告就這樣在
198. [00:08:41,220 -> 00:08:43,840] 九千六百萬觀眾面前震撼播出！
199. [00:08:44,120 -> 00:08:45,620] 瞬間引爆全美話題
200. [00:08:46,220 -> 00:08:49,740] Mac 直接成了反叛與自由的終極圖騰！
201. [00:08:49,740 -> 00:08:52,800] 【第四部分：神級發表會】
202. [00:08:53,220 -> 00:08:56,060] 時間來到 1984 年 1 月 24 日
203. [00:08:56,240 -> 00:08:57,740] 加州的弗林特中心
204. [00:08:58,200 -> 00:09:01,260] 這一天，賈伯斯不只是發布了一台新電腦
205. [00:09:01,620 -> 00:09:03,160] 他根本是直接發明了
206. [00:09:03,160 -> 00:09:05,760] 現代科技發表會的黃金公式！
207. [00:09:06,360 -> 00:09:08,860] 大家想像一下那個充滿張力的畫面：
208. [00:09:09,200 -> 00:09:11,700] 台上沒有冗長無聊的規格解說
209. [00:09:12,120 -> 00:09:13,980] 賈伯斯穿著一套筆挺的西裝
210. [00:09:14,300 -> 00:09:16,180] 走到一張孤零零的小木桌前
211. [00:09:16,580 -> 00:09:18,360] 桌上只放了一個小小的帆布包
212. [00:09:18,360 -> 00:09:20,480] 接著，他就像變魔術一樣
213. [00:09:20,840 -> 00:09:21,900] 單手，就單手！
214. [00:09:22,120 -> 00:09:25,040] 從袋子裡抽出了那台精巧絕倫的 Macintosh！
215. [00:09:25,520 -> 00:09:27,740] 台下所有人瞬間倒抽一口氣！
216. [00:09:28,160 -> 00:09:29,560] 你要知道，在那個年代
217. [00:09:29,840 -> 00:09:31,540] 電腦通常重達四五十磅
218. [00:09:31,820 -> 00:09:33,080] 搬動還得靠兩個人
219. [00:09:33,460 -> 00:09:35,900] 這台一體成型的機器跟他們比起來
220. [00:09:36,160 -> 00:09:38,560] 簡直就像是外星人留下來的藝術品！
221. [00:09:39,100 -> 00:09:41,820] 接著，他優雅地把一張 3.5 吋的磁碟片
222. [00:09:41,820 -> 00:09:42,820] 插進了電腦裡
223. [00:09:43,540 -> 00:09:47,160] 螢幕上立刻跑出流暢的視窗和超美的字體
224. [00:09:47,160 -> 00:09:49,040] 接著，賈伯斯笑著說
225. [00:09:49,260 -> 00:09:51,400] 他想讓 Mac 自己來打個招呼
226. [00:09:51,740 -> 00:09:54,600] 機器隨即發出了一種帶點金屬感、
227. [00:09:54,840 -> 00:09:56,660] 有點像機器人的聲音說：
228. [00:09:57,100 -> 00:09:58,920] 「你好，我是 Macintosh。
229. [00:09:59,440 -> 00:10:00,920] 我想分享一句格言：
230. [00:10:01,260 -> 00:10:04,060] 永遠不要信任一台你搬不動的電腦！」
231. [00:10:04,480 -> 00:10:07,220] 這句擺明了在狂酸 IBM 的話一出來
232. [00:10:07,640 -> 00:10:09,820] 台下兩千名觀眾徹底瘋了！
233. [00:10:10,120 -> 00:10:13,240] 全場起立狂吼歡呼了整整五分鐘！
234. [00:10:13,720 -> 00:10:16,000] 賈伯斯在台上激動到落淚
235. [00:10:16,000 -> 00:10:17,460] 因為就在這一天
236. [00:10:17,800 -> 00:10:19,920] 電腦終於不再是冷冰冰的機器
237. [00:10:20,140 -> 00:10:23,040] 它正式蛻變成了「思想的自行車」！
238. [00:10:23,700 -> 00:10:26,940] 【第五部分：誰才是真正的小偷？】
239. [00:10:27,540 -> 00:10:30,900] 正當你以為故事要迎來完美結局的時候
240. [00:10:31,480 -> 00:10:33,900] 最戲劇性的神反轉來了！
241. [00:10:34,720 -> 00:10:37,940] 初代的 Macintosh 雖然長得超美
242. [00:10:38,320 -> 00:10:39,780] 但現實是殘酷的
243. [00:10:40,160 -> 00:10:42,800] 因為記憶體實在太小，又沒有硬碟
244. [00:10:42,800 -> 00:10:46,320] 加上高達 2495 美元的天價
245. [00:10:46,840 -> 00:10:49,520] 銷量很快就出現雪崩式的暴跌
246. [00:10:50,040 -> 00:10:53,480] 這場大失敗直接引發了蘋果內部的宮廷政變
247. [00:10:53,940 -> 00:10:55,560] 賈伯斯被拔掉實權
248. [00:10:55,760 -> 00:10:58,000] 悲憤地離開了他親手創辦的公司
249. [00:10:58,500 -> 00:10:59,320] 而就在這個時候
250. [00:10:59,680 -> 00:11:03,020] 另一個一直在旁邊默默觀察的年輕人出手了
251. [00:11:03,340 -> 00:11:05,240] 他就是微軟的比爾·蓋茲！
252. [00:11:05,660 -> 00:11:08,560] 微軟本來是 Mac 最核心的軟體開發商
253. [00:11:08,940 -> 00:11:11,640] 他們在合法研究了 Mac 的介面邏輯之後
254. [00:11:11,640 -> 00:11:14,240] 轉頭就推出了 Windows 1.0！
255. [00:11:14,700 -> 00:11:15,860] 賈伯斯一聽說這件事
256. [00:11:16,060 -> 00:11:17,120] 整個人氣到爆炸！
257. [00:11:17,380 -> 00:11:20,100] 直接把蓋茲叫到辦公室一頓破口大罵
258. [00:11:20,500 -> 00:11:22,300] 狂飆他背叛了雙方的信任
259. [00:11:22,660 -> 00:11:24,820] 偷走了蘋果的心血和圖形介面！
260. [00:11:25,360 -> 00:11:27,080] 面對賈伯斯的瘋狂咆哮
261. [00:11:27,420 -> 00:11:29,160] 比爾·蓋茲超級淡定
262. [00:11:29,480 -> 00:11:33,600] 留下了這句在科技史上流傳千古的超狠神回覆：
263. [00:11:33,880 -> 00:11:36,880] 他說：「史蒂夫，我認為事實應該是這樣的：
264. [00:11:37,320 -> 00:11:39,820] 我們都有一個叫做全錄的超有錢鄰居，
265. [00:11:39,820 -> 00:11:43,180] 當我偷偷撬開他的門，想進去偷電視機的時候，
266. [00:11:43,380 -> 00:11:45,660] 卻發現你早就已經把它給偷走了！」
267. [00:11:46,220 -> 00:11:48,120] 哇，這句話真的太絕了吧！
268. [00:11:48,500 -> 00:11:49,140] 一刀斃命！
269. [00:11:49,480 -> 00:11:53,120] 直接點出了這場世紀大劫案最黑色幽默的本質
270. [00:11:53,480 -> 00:11:56,160] 大家真的可以好好品味一下這個神級的吐槽！
271. [00:11:56,820 -> 00:12:00,700] 其實，賈伯斯生前很愛引用畢卡索的一句話：
272. [00:12:01,080 -> 00:12:04,620] 「優秀的藝術家複製，偉大的藝術家偷竊。」
273. [00:12:05,140 -> 00:12:06,620] 當我們現在冷靜下來
274. [00:12:06,960 -> 00:12:09,760] 回頭看這段歷史留下來的真正遺產
275. [00:12:10,080 -> 00:12:13,960] 你會發現，賈伯斯當年跑到全錄 PARC 所做的事情
276. [00:12:14,280 -> 00:12:16,180] 絕對不只是單純的偷竊而已
277. [00:12:16,720 -> 00:12:18,300] 因為在全錄高層的手裡
278. [00:12:18,620 -> 00:12:22,300] GUI 永遠只會是鎖在象牙塔裡的學術玩具
279. [00:12:22,640 -> 00:12:23,520] 但是賈伯斯
280. [00:12:23,780 -> 00:12:27,280] 憑藉著他那超凡的眼光還有無人能及的偏執
281. [00:12:27,700 -> 00:12:30,060] 硬是把它變成了 15 美元的滑鼠、
282. [00:12:30,420 -> 00:12:33,640] 下拉式選單，還有那無與倫比的工業設計！
283. [00:12:34,040 -> 00:12:37,540] 他是真正把一項被所有人忽視的實驗室技術
284. [00:12:37,540 -> 00:12:41,520] 轉化成了徹底改變全人類生活方式的完美工具！
285. [00:12:41,980 -> 00:12:42,780] 可以這麼說
286. [00:12:43,180 -> 00:12:45,600] 如果沒有當年那艘升起海盜旗、
287. [00:12:46,000 -> 00:12:48,700] 敢於向龐大體制宣戰的 Macintosh
288. [00:12:49,100 -> 00:12:51,240] 我們現在每天面對的數位世界
289. [00:12:51,660 -> 00:12:55,180] 可能依然是那種冷冰冰、黑底綠字的指令列吧？
290. [00:12:55,820 -> 00:12:58,680] 今天的解析帶大家重新走了一遍
291. [00:12:58,680 -> 00:13:00,620] 這場充滿野心、混亂，
292. [00:13:00,940 -> 00:13:04,180] 同時又激盪著無數天才火花的科技革命
293. [00:13:04,680 -> 00:13:05,580] 在節目的最後
294. [00:13:05,880 -> 00:13:08,640] 我想留下一個有趣的問題讓大家想一想：
295. [00:13:08,640 -> 00:13:11,880] 如果說偉大的藝術家都是從偷竊開始的
296. [00:13:12,180 -> 00:13:15,340] 那麼此時此刻，你每天滑著手機、點著滑鼠
297. [00:13:15,620 -> 00:13:18,000] 享受著這些數位生活帶來的便利時
298. [00:13:18,340 -> 00:13:19,840] 這裡頭到底有多少東西
299. [00:13:20,140 -> 00:13:23,260] 是來自當年那場華麗又瘋狂的大劫案呢？
300. [00:13:23,600 -> 00:13:24,820] 希望你喜歡今天的內容
301. [00:13:25,000 -> 00:13:25,540] 我們下次見！
